ActiveNoBackup,AppearsInAutoDetection,Archive,Area,AreaID,AreaName,AutoDetected,BaR_MPX,BaR_Master,BaR_NFS_Client,BaR_Priority,BaR_STU,BaR_Special,BaR_Tier,BusinessGroup,CIFS,CachePermissions,CachedCells,CanSetUserQuota,Cell,CmodeAreaName,Created,CreatedTimeFull,DNSName,DataDeletionApproved,DaysUntilDeletion,DefaultUserQuota,Description,DetailedStatus,DisabledNotification,DisabledPeriod,Disk,DiskPool,DoNotTouch,DoNotTouchDate,Duration,DurationPendingApproval,ExpandedPermissions,ExpirationDate,ExpirationTimeFull,Exports,FSGroups,FSType,FSUsers,FileServer,GlobalPathPrefix,Grace,GracePeriod,InfoCollectionTime,Intelproject,IsCache,IsDummy,IsOnLEHN,IsTargetOfMigration,Kerberos,LIF,LastAccessed,LastAutoDetectedTime,LastModified,LastNotEmptyTime,LastNotEmptyUsage,LocalFullPath,LocalPathPrefix,MasterCopy,MaxDuration,MaxSize,MetaLunId,MetaLunName,MetaLunSize,MigrationTargetAreaID,Mirrors,MonitoringContacts,MonitoringThreshold,Mounts,NeedArchiving,NoBackup,NoShrink,NotAutoDetectedAttempts,Notification,OpsPerDay,Owner,OwnerWWIDs,Path,PendingPermissionsRequests,Permissions,PhysicalDeletionTime,Policies,Project,QSlot,RaidType,ReadOnly,ReplicationState,Replicators,RequestDate,RequestTimeFull,RequestedSize,Requester,Requirements,ScanDetail,ScanTime,SecondaryOwners,Size,SizeGB,SizePendingApproval,SizeTB,SnapshotPolicy,SnapshotSchedules,SpecialMonitoring,StateChangedTime,Status,StodFSPermissions,Stod_Type,StorageGroup,Tier,TopUsersMonitoring,Type,Unix_Mode,Usage,UsageGB,UsageTB,UserQuotaOn,Users,Utilization,WaitReason,WasInternalized,age0,age180,age30,age360,age540,age720,age90,autosize,autosize_increment,data_category,max_autosize,numfiles,sharedpool
false,true,,Audio_DSP_SW,ibw.7533,Audio_DSP_SW,false,1,,,0,,,1,CCG,false,,,true,igk,,04/03/2012,04/03/2012 11:36:35,,false,N/A,Unlimited,,Active,,21,vol4,,false,,,0, sticky,,,access=igk_admin rw=igk_admin root=igk_admin,,Unix,gkblditp,gkefs01a.igk.intel.com,,,,07/07/2014 18:04:10,,false,false,false,false,false,,,07/07/2014 19:48:06,,07/07/2014 18:04:10,0,,,,Unlimited,1024000,,,0,,,,0,/nfs/igk/disks/Audio_DSP_SW,false,false,false,0,,5613.906,mobara,10718564,/nfs/igk/disks/Audio_DSP_SW,,gkblditp:read write execute ccigk:read execute all:none  sticky,,,AudioDSP,,,false,none,,04/03/2012,04/03/2012 11:36:09,10240,root,,/nfs/site/gen/adm/disk_metrics/nfs-scan/data/igk/gkefs01a.igk.intel.com/vol4_Audio_DSP_SW.gz,Wed Mar 19 09:48:14 2014,mobara,10240,10.0,10240,0.01,,,0,,Active,,false,,3,true,EMC,2750,0,0.0,0.0,true,mobara,0.0,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1,
false,true,,CG-Performance,ibw.6667,CG-Performance,false,1,,,0,,,1,VPG,false,,,true,igk,,12/13/2011,12/13/2011 13:15:21,,false,N/A,Unlimited,,Active,,21,vol6,,false,,,0,,,,sec=krb5 sec=sys access=igk_prod_all:igk_admin:igk_lab_cgperf root=igk_admin,,Unix,pworobie sys_aub atretkow mkolakow jrcabral aneyman * echudzin lswidere mchwialk mstracha dsomavar,gkefs01a.igk.intel.com,,,,07/07/2014 18:06:10,,false,false,false,false,true,,,07/07/2014 19:03:45,,07/07/2014 18:06:10,1952626,,,,Unlimited,3072000,,,0,,,mchwialk echudzin,75,/nfs/igk/proj/cg_perf /nfs/igk/disks/CG-Performance,false,false,false,0,,26048.654,mchwialk,11380480,/nfs/igk/disks/CG-Performance,,mstracha:read write execute gk_cgcap:read write execute all:none ,,,lrb,,,false,none,,12/13/2011,12/13/2011 10:55:05,3018752,jdkarpin,((FileServer=='gkefs01a.igk.intel.com') && (Disk=='vol6')),/nfs/site/gen/adm/disk_metrics/nfs-scan/data/igk/gkefs01a.igk.intel.com/vol6_CG-Performance.gz,Wed Mar 19 04:36:15 2014,mchwialk,3018752,2948.0,3018752,2.879,,,0,,Active,,false,,3,true,EMC,770,1952626,1906.861,1.862,true,mchwialk,0.647,,false,237567.984,68405.383,98221.062,40951.289,19967.75,4786.266,85903.461,,,,,148658,
true,true,,CPG-eps,ibw.5255,CPG-eps,false,1,,,0,,,1,CCG,false,,,true,igk,,05/06/2011,05/06/2011 14:55:31,,false,N/A,Unlimited,,Active,,21,vol4,,false,,,0,,,,sec=krb5 sec=sys access=igk_prod_all:igk_admin root=igk_admin,,Unix,gkbld_eps,gkefs01a.igk.intel.com,,,,07/07/2014 17:59:09,,false,false,false,true,true,,,07/07/2014 19:48:06,,07/07/2014 17:59:09,51793,,,,Unlimited,1024000,,,0,,,,0,/nfs/igk/proj/eps,false,false,false,0,,2872.002,mjemiol,10678034,/nfs/igk/proj/eps,,gkbld_eps:read execute ccigk:read execute all:none ,,,eps,,,false,none,,05/06/2011,05/06/2011 14:31:17,87040,jdkarpin,Disk=='vol4' && FileServer=='gkefs01a.igk.intel.com',/nfs/site/gen/adm/disk_metrics/nfs-scan/data/igk/gkefs01a.igk.intel.com/vol4_CPG-eps.gz,Wed Mar 19 09:42:50 2014,mjemiol,87040,85.0,87040,0.083,,,0,,Active,,false,,3,true,EMC,550,51793,50.579,0.049,true,mjemiol,0.595,,false,55029.766,54386.625,54387.586,54386.609,53464.977,53194.594,54386.68,,,,,754714,
true,true,,CPG-hdaudio,ibw.5272,CPG-hdaudio,false,1,,,0,,,1,CCG,false,,,true,igk,,05/06/2011,05/06/2011 20:55:37,,false,N/A,Unlimited,,Active,,21,vol4,,false,,,0,,,,sec=krb5 sec=sys access=igk_prod_all:igk_admin root=igk_admin,,Unix,* gkblditp 11407799 gkbld_hda,gkefs01a.igk.intel.com,,,,07/07/2014 17:58:13,,false,false,false,true,true,,,07/07/2014 19:48:06,,07/07/2014 17:58:13,9782,,,,Unlimited,1024000,,,0,,,,0,/nfs/igk/proj/hdaudio,false,false,false,0,,33513.846,zprzekop,10775209,/nfs/igk/proj/hdaudio,,gkbld_hda:read write execute cgaudio:read write execute all:none ,,,hdaudio,,,false,none,,05/06/2011,05/06/2011 20:37:44,204800,jdkarpin,Disk=='vol4' && FileServer=='gkefs01a.igk.intel.com',/nfs/site/gen/adm/disk_metrics/nfs-scan/data/igk/gkefs01a.igk.intel.com/vol4_CPG-hdaudio.gz,Wed Mar 19 05:19:11 2014,zprzekop,204800,200.0,204800,0.195,,,0,,Active,,false,,3,true,EMC,770,9782,9.553,0.009,true,zprzekop,0.048,,false,10087.758,10068.508,10087.758,9981.078,9850.203,7460.805,10087.758,,,,,50182,
false,true,,GCC-SunRiseLake,ibw.5290,GCC-SunRiseLake,false,1,,,0,,,1,CCG,false,,,true,igk,,05/07/2011,05/07/2011 16:55:25,,false,N/A,Unlimited,,Active,,21,vol4,,false,,,0, sticky,,,sec=krb5 sec=sys access=igk_prod_all:igk_admin root=igk_admin,,Unix,* cwieruck mbeger gkbld_slk rsztejna,gkefs01a.igk.intel.com,,,,07/07/2014 17:59:37,,false,false,false,false,true,,,07/07/2014 19:48:06,,07/07/2014 17:59:37,33407,,,,Unlimited,1024000,,,0,,,,0,/nfs/igk/proj/sunriselake,false,false,false,0,,3624.952,mbeger,10775213,/nfs/igk/proj/sunriselake,,mbeger:read write execute gk_sunriselake:read execute all:none  sticky,,,sunriselake,,,false,none,,05/07/2011,05/07/2011 16:42:26,51200,jdkarpin,Disk=='vol4' && FileServer=='gkefs01a.igk.intel.com',/nfs/site/gen/adm/disk_metrics/nfs-scan/data/igk/gkefs01a.igk.intel.com/vol4_GCC-SunRiseLake.gz,Wed Mar 19 04:49:01 2014,mbeger,51200,50.0,51200,0.049,,,0,,Active,,false,,3,true,EMC,2750,33407,32.624,0.032,true,mbeger,0.652,,false,35262.664,35262.328,35262.328,35262.32,35262.211,34734.125,35262.328,,,,,365622,
true,true,,builds,ibw.5165,builds,false,1,,,0,,,1,IT,false,,,true,igk,,04/21/2011,04/21/2011 15:15:25,,false,N/A,Unlimited,,Active,,21,vol2,,false,,,0,,,,sec=krb5 sec=sys access=igk_prod_all:igk_admin root=igk_admin,,Unix,mkurczew mgrynda gkbld_rol jdanecki 43146 astawski gkbld_amt gkmiecik echudzin pguza tlauda rfredzim gkbld_usb amolonie pmacieje jkwiatko mzebrows tmicun aneyman rkrzyszt 65018 psgutkow gkbld_gfx pszmaja jrenieck awbernec fkaczmar tpielasz 11427913 mczuczma mossowsk 43060 * agolicho mnowikow bkornows gk_mdtst jmotowid mwalewsx rrudnick hgaffke iandrysi ggrabows gkbld_nand 43497 ddanapal mnowak1 sszulc rszwicht bmatwiej 43356 tchudy kturek womilian mluty 7577 43031 59979 srosenki gkblditp dolichwe ajaszcza gkbld_eps atstansk 11342548 aandrusz 28282 gkbldaon sys_gir sbastek 43099 gkbld_ftf 54783 mswiader 28435 43084 rsztejna cwieruck tgajewsk jnowak psobon mdabek dostrows pwilma akwolek gkbld_svr 65024 gkbld_hda adziecia phawryle 65534 ppieczul jkrol,gkefs01a.igk.intel.com,,,,07/07/2014 18:02:37,,false,false,false,true,true,,,07/07/2014 19:57:35,,07/07/2014 18:02:37,2306892,,,,Unlimited,Unlimited,,,0,,,,0,/nfs/igk/disks/builds,false,false,false,0,,5683348.746,mredlars,10715196,/nfs/igk/disks/builds,,root:read write execute root:read execute all:read execute ,,,EC,,,false,none,,04/21/2011,04/21/2011 15:09:38,2457600,root,Disk=='vol2' && FileServer=='gkefs01a.igk.intel.com',/nfs/site/gen/adm/disk_metrics/nfs-scan/data/igk/gkefs01a.igk.intel.com/vol2_builds.gz,Wed Mar 19 05:18:40 2014,mredlars,2457600,2400.0,2457600,2.344,,,0,,Active,,false,,3,true,EMC,755,2306892,2252.824,2.2,true,mredlars,0.939,,false,2303986.648,1781845.922,2065464.586,1320294.836,823015.82,519623.516,2015588.57,,,,,8767569,
false,true,,cifs,ibw.8501,cifs,true,1,gksnbu001.igk.intel.com,,0,gksbak0101-MSDP,,1,,false,,,false,igk,,11/09/2012,11/09/2012 12:25:47,,false,N/A,0,,Active,,,root,aggr0,false,,,0,,,,Unexported,,Unix,root,gknap01a,,,,07/07/2014 18:04:42,,false,false,false,false,false,,,07/07/2014 19:31:34,,,0,,,,Unlimited,Unlimited,,,0,,,,0,,false,false,false,0,,503720.657,unknown,,,,root:read write execute root:read write execute all:read execute ,,,,,,false,none,,11/09/2012,11/09/2012 12:25:47,0,unknown,,/nfs/site/gen/adm/disk_metrics/nfs-scan/data/igk/gknap01a/root_cifs.gz,Mon Mar 17 22:36:14 2014,unknown,0,0.0,0,0.0,,,0,,Active,,false,,2,true,NETAPP,775,0,0.0,0.0,false,unknown,N/A,,false,1.359,0.0,0.004,0.0,0.0,0.0,0.004,,,,,16627,
false,true,,cifs,ibw.8499,cifs,true,1,gksnbu001.igk.intel.com,,0,gksbak003-004-gksecpd001-PD,,1,,false,,,false,igk,,11/09/2012,11/09/2012 11:28:31,,false,N/A,0,,Active,,,root,aggr0,false,,,0,,,,Unexported,,Unix,root,gknap01b,,,,07/07/2014 18:03:31,,false,false,false,false,false,,,07/07/2014 19:21:50,,,0,,,,Unlimited,Unlimited,,,0,,,,0,,false,false,false,0,,1.0,unknown,,,,root:read write execute root:read write execute all:read execute ,,,,,,false,none,,11/09/2012,11/09/2012 11:28:31,0,unknown,,/nfs/site/gen/adm/disk_metrics/nfs-scan/data/igk/gknap01b/root_cifs.gz,Mon Mar 17 20:03:17 2014,unknown,0,0.0,0,0.0,,,0,,Active,,false,,2,true,NETAPP,775,0,0.0,0.0,false,unknown,N/A,,false,0.801,0.004,0.004,0.004,0.0,0.0,0.004,,,,,9432,
false,true,,eda_data_disk0002,ibw.7938,eda_data_disk0002,false,1,,,0,,,1,IT,false,,,true,igk,,07/04/2012,07/04/2012 18:38:15,,false,N/A,Unlimited,,Active,,21,vol7,,false,,,0,,,,access=gksutil001.igk.intel.com root=gksutil001.igk.intel.com,,Unix,cadlib,gkefs01a.igk.intel.com,,,,07/07/2014 18:03:37,,false,false,false,false,false,,,07/07/2014 19:17:04,,07/07/2014 18:03:37,64912,,,,Unlimited,Unlimited,,,0,,,,0,/nfs/igk/eda/data/disk0002a,false,false,false,0,,454.994,cadlib,10549543,/nfs/igk/eda/data/disk0002a,,cadlib:read write execute cadlib:read execute all:read execute ,,,EC,eda,,false,none,,07/04/2012,07/04/2012 18:37:56,204800,root,,/nfs/site/gen/adm/disk_metrics/nfs-scan/data/igk/gkefs01a.igk.intel.com/vol7_eda_data_disk0002.gz,Wed Mar 19 03:42:00 2014,cadlib,204800,200.0,204800,0.195,,,0,,Active,,false,,3,true,EMC,755,64912,63.391,0.062,true,cadlib,0.317,,false,64014.867,64014.859,64014.859,64014.859,0.039,0.0,64014.859,,,,,334510,
false,true,,eda_data_disk0004,ir.11953,eda_data_disk0004,false,1,gksnbu001.igk.intel.com,,0,gksbak003-004-gksecpd001-PD,,1,IT,false,,,true,igk,,05/07/2014,05/07/2014 21:54:40,,false,N/A,Unlimited,,Active,,21,vol3,aggr0,false,,,0,,,,-sec=sys rw=@igk_admin:@igk_prod_all root=@igk_admin,,Unix,* cadlib,gknap01b,,,,07/07/2014 18:06:52,,false,false,false,false,false,,,07/07/2014 19:34:57,,07/07/2014 18:06:52,0,,,,Unlimited,Unlimited,,,0,,,,0,/nfs/igk/eda/data/disk0004,false,false,false,0,,12.0,cadlib,10549543,/nfs/igk/eda/data/disk0004,,cadlib:read write execute cadlib:read execute all:read execute ,,,EC,,,false,none,,05/07/2014,05/07/2014 21:54:19,307200,jaltamir,,,,cadlib,307200,300.0,307200,0.293,,,0,,Active,,false,,2,true,NETAPP,755,0,0.0,0.0,true,cadlib,0.0,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1,
