ActiveNoBackup,AppearsInAutoDetection,Archive,Area,AreaID,AreaName,AutoDetected,BaR_MPX,BaR_Master,BaR_NFS_Client,BaR_Priority,BaR_STU,BaR_Special,BaR_Tier,BusinessGroup,CIFS,CachePermissions,CachedCells,CanSetUserQuota,Cell,CmodeAreaName,Created,CreatedTimeFull,DNSName,DataDeletionApproved,DaysUntilDeletion,DefaultUserQuota,Description,DetailedStatus,DisabledNotification,DisabledPeriod,Disk,DiskPool,DoNotTouch,DoNotTouchDate,Duration,DurationPendingApproval,ExpandedPermissions,ExpirationDate,ExpirationTimeFull,Exports,FSGroups,FSType,FSUsers,FileServer,GlobalPathPrefix,Grace,GracePeriod,InfoCollectionTime,Intelproject,IsCache,IsDummy,IsOnLEHN,IsTargetOfMigration,Kerberos,LIF,LastAccessed,LastAutoDetectedTime,LastModified,LastNotEmptyTime,LastNotEmptyUsage,LocalFullPath,LocalPathPrefix,MasterCopy,MaxDuration,MaxSize,MetaLunId,MetaLunName,MetaLunSize,MigrationTargetAreaID,Mirrors,MonitoringContacts,MonitoringThreshold,Mounts,NeedArchiving,NoBackup,NoShrink,NotAutoDetectedAttempts,Notification,OpsPerDay,Owner,OwnerWWIDs,Path,PendingPermissionsRequests,Permissions,PhysicalDeletionTime,Policies,Project,QSlot,RaidType,ReadOnly,ReplicationState,Replicators,RequestDate,RequestTimeFull,RequestedSize,Requester,Requirements,ScanDetail,ScanTime,SecondaryOwners,Size,SizeGB,SizePendingApproval,SizeTB,SnapshotPolicy,SnapshotSchedules,SpecialMonitoring,StateChangedTime,Status,StodFSPermissions,Stod_Type,StorageGroup,Tier,TopUsersMonitoring,Type,Unix_Mode,Usage,UsageGB,UsageTB,UserQuotaOn,Users,Utilization,WaitReason,WasInternalized,age0,age180,age30,age360,age540,age720,age90,autosize,autosize_increment,data_category,max_autosize,numfiles,sharedpool
false,true,,EC_SIE_generic_disk001,ibw.6683,EC_SIE_generic_disk001,false,1,cmsbak002.isw.intel.com,,0,sisbak002-MSDP,,8,IT,false,,,true,sie,,12/13/2011,12/13/2011 15:21:18,,false,N/A,Unlimited,,Active,,21,vol0,aggr0,false,,,0,,,,-sec=sys rw=@sie_admin:@sie_prod_all root=@sie_admin,,Unix,1 34589 glaffan lp_admin root 40389 * cckbeadm lab_bldmstr2 wp_admin 40258 12175,sinap01a.ir.intel.com,,,,07/07/2014 18:03:21,,false,false,false,false,false,,,07/07/2014 19:12:14,,07/07/2014 18:03:21,1,,,,Unlimited,Unlimited,,,0,,,dmoneil2,0,/nfs/sie/disks/ec_generic_disk001,false,false,false,0,,3802.983,iszuca,11407404 11413398,/nfs/sie/disks/ec_generic_disk001,,glaffan:read write execute 32663:read write execute all:read execute ,,,EC,,,false,none,,12/13/2011,12/13/2011 15:21:05,10,root,fileserver=='sinap01a.ir.intel.com' && disk=='vol0',/nfs/site/gen/adm/disk_metrics/nfs-scan/data/sie/sinap01a.ir.intel.com/vol0_EC_SIE_generic_disk001.gz,Thu Feb 14 00:54:54 2013,iszuca wchilins,10,0.01,10,0.0,,,0,,Active,,false,,2,true,NETAPP,775,1,0.001,0.0,true,iszuca wchilins,0.1,,false,1.129,0.926,0.98,0.922,0.0,0.0,0.98,,,,,126,
false,true,,SIE-CID_cavecreek_central_disk001,ibw.6884,SIE-CID_cavecreek_central_disk001,false,1,cmsbak002.isw.intel.com,,0,sisbak002-MSDP,,8,ECG,false,,,true,sie,,02/01/2012,02/01/2012 12:01:22,,false,N/A,Unlimited,,Active,,21,vol0,aggr0,false,,,0, sticky,,,-sec=sys rw=@sie_admin:@sie_prod_all root=@sie_admin,,Unix,* root cckbeadm,sinap01a.ir.intel.com,,,,07/07/2014 17:57:21,,false,false,false,false,false,,,07/07/2014 19:12:14,,07/07/2014 17:57:21,490366,,,,Unlimited,1024000,,,0,,,,0,/nfs/sie/disks/cavecreek_central_disk001,false,false,false,0,,10589.979,gquinn,10686487 11375112,/nfs/sie/disks/cavecreek_central_disk001,,cckbeadm:read write execute ccreek_be:read write execute all:none  sticky,,,cavecreek,,,false,none,,02/01/2012,02/01/2012 12:01:11,583680,root,fileserver='sinap01a.ir.intel.com' && Disk=='vol0',/nfs/site/gen/adm/disk_metrics/nfs-scan/data/sie/sinap01a.ir.intel.com/vol0_SIE-CID_cavecreek_central_disk001.gz,Wed Feb 13 21:46:48 2013,gquinn nhughes,583680,570.0,583680,0.557,,,0,,Active,,false,,2,true,NETAPP,2770,490366,478.873,0.468,true,gquinn nhughes,0.84,,false,393027.996,368546.969,386187.531,24166.637,0.0,0.0,383275.27,,,,,148793,
false,true,,SIE-CID_coletocreek_be_disk001,ibw.9215,SIE-CID_coletocreek_be_disk001,false,1,cmsbak002.isw.intel.com,,0,sisbak002-MSDP,Backup_Duplication,8,ECG,false,,,true,sie,,02/07/2013,02/07/2013 10:25:56,,false,N/A,Unlimited,,Active,,21,vol5,aggr0,false,,,0, sticky,,,-sec=sys rw=@sie_admin:@sie_prod_all root=@sie_admin,,Unix,pplower * cc_admin,sinap01b.ir.intel.com,,,,07/07/2014 18:06:02,,false,false,false,false,false,,,07/07/2014 19:25:43,,07/07/2014 18:06:02,204946,,,,Unlimited,3072000,,,0,,,,0,/nfs/sie/disks/coletocreek_be.01,false,false,false,0,,98.001,gquinn,10686487 11375112,/nfs/sie/disks/coletocreek_be.01,,cc_admin:read write execute clc:read write execute all:none  sticky,,,coletocreek,,,false,none,,02/07/2013,02/07/2013 10:25:43,409600,dleahy1,((FileServer=='sinap01b.ir.intel.com') && (Disk=='vol5')),/nfs/site/gen/adm/disk_metrics/nfs-scan/data/sie/sinap01b.ir.intel.com/vol5_SIE-CID_coletocreek_be_disk001.gz,Wed Feb 20 13:04:31 2013,gquinn nhughes,409600,400.0,409600,0.391,,,0,,Active,,false,,2,true,NETAPP,2770,204946,200.143,0.195,true,gquinn nhughes,0.5,,false,0.004,0.0,0.0,0.0,0.0,0.0,0.0,,,,,417540,
false,true,,SIE-CID_coletocreek_central_disk001,ibw.7579,SIE-CID_coletocreek_central_disk001,false,1,cmsbak002.isw.intel.com,,0,sisbak002-MSDP,,8,ECG,false,,,true,sie,,04/20/2012,04/20/2012 11:35:31,,false,N/A,Unlimited,,Active,,21,vol7,aggr0,false,,,0, sticky,,,-sec=sys rw=@sie_admin:@sie_prod_all root=@sie_admin,,Unix,11408314 godonogh echukwu mmhossa1 plavin1 soneil3 riqbal cc_admin rrabdel nhughes * mocoilea rvickers pwaters 48402 mhoran,sinap01b.ir.intel.com,,,,07/07/2014 18:02:11,,false,false,false,false,false,,,07/07/2014 19:00:53,,07/07/2014 18:02:11,1825913,,,,Unlimited,3072000,,,0,,,,0,/nfs/sie/disks/coletocreek_central_disk001,false,false,false,0,,1697.993,gquinn,10686487 11375112,/nfs/sie/disks/coletocreek_central_disk001,,cc_admin:read write execute clc:read write execute all:none  sticky,,,coletocreek,,,false,none,,04/20/2012,04/20/2012 11:18:29,2048000,root,((FileServer=='sinap01b.ir.intel.com') && (Disk=='vol7')),/nfs/site/gen/adm/disk_metrics/nfs-scan/data/sie/sinap01b.ir.intel.com/vol7_SIE-CID_coletocreek_central_disk001.gz,Wed Feb 13 21:50:32 2013,gquinn nhughes,2048000,2000.0,2048000,1.953,,,0,,Active,,false,,2,true,NETAPP,2770,1825913,1783.118,1.741,true,gquinn nhughes,0.892,,false,1340784.758,345331.945,882347.512,0.0,0.0,0.0,714803.188,,,,,485210,
true,true,,SIE-CID_coletocreek_disk01,ibw.6177,SIE-CID_coletocreek_disk01,false,1,cmsbak002.isw.intel.com,,0,sisbak002-MSDP,,8,ECG,false,,,true,sie,,09/22/2011,09/22/2011 11:20:57,,false,N/A,Unlimited,frontend user sandbox & regression area,Active,,21,vol0,aggr0,false,,,0, sticky,,,-sec=sys rw=@sie_admin:@sie_prod_all root=@sie_admin,,Unix,gvp_ccv 28740 seosta 11437735 * acunning rajibril vkalyan1 isobansk dbmadiga jkenny kbhatt ojcasey dkeohane cc_admin jbarry,sinap01b.ir.intel.com,,,,07/07/2014 18:00:59,,false,false,false,false,false,,,07/07/2014 19:51:46,,07/07/2014 18:00:59,282432,,,,Unlimited,3072000,,,0,,,,0,/nfs/sie/disks/coletocreek.01,false,true,false,0,,1626.032,gquinn,10686487 11225897,/nfs/sie/disks/coletocreek.01,,dbmadiga:read write execute clc:read write execute all:none  sticky,,,coletocreek,,,false,none,,09/22/2011,09/22/2011 11:20:46,307200,root,Fileserver=='sinap01b.ir.intel.com' && Disk=='vol0',/nfs/site/gen/adm/disk_metrics/nfs-scan/data/sie/sinap01b.ir.intel.com/vol0_SIE-CID_coletocreek_disk01.gz,Thu Feb 14 00:56:40 2013,gquinn dbmadiga,307200,300.0,307200,0.293,,,0,,Active,,false,,2,true,NETAPP,2770,282432,275.812,0.269,true,gquinn dbmadiga,0.919,,false,274623.203,34653.637,150319.809,13177.609,0.0,0.0,68977.73,,,,,1588992,
false,true,,SIE-CID_coletocreek_disk02,ibw.6178,SIE-CID_coletocreek_disk02,false,1,cmsbak002.isw.intel.com,,0,sisbak002-MSDP,,8,ECG,false,,,true,sie,,09/22/2011,09/22/2011 11:22:45,,false,N/A,Unlimited,GVP & validation release area & repository,Active,,21,vol0,aggr0,false,,,0, sticky,,,-sec=sys rw=@sie_admin:@sie_prod_all root=@sie_admin,,Unix,ngdohert build_sie 26693 jhayes1 dmmurph1 mocoilea vkalyan1 csankar 11386838 nsridhar bfdutton placki dbmadiga hmccarth ojcasey dkeohane cc_admin blynch jkearney gvp_ccv pfleming jbdiethe 40308 nhughes aamehta1 eadayrit 11437735 * oheuser acunning mzaman pwaters pplower pwaldron ependerg godonogh isobansk kbhatt jkenny mgbrophy ckingx jbarry wkgates roryburn rczaglew gvp_ccd,sinap01b.ir.intel.com,,,,07/07/2014 17:57:13,,false,false,false,false,false,,,07/07/2014 19:51:46,,07/07/2014 17:57:13,301826,,,,Unlimited,3072000,,,0,,ch:/nfs/ch/disks/coletocreek.02,,0,/nfs/sie/disks/coletocreek.02,false,false,false,0,,321.997,gquinn,10686487 11225897,/nfs/sie/disks/coletocreek.02,,dbmadiga:read write execute clc:read write execute all:none  sticky,,,coletocreek,,,false,master,,09/22/2011,09/22/2011 11:22:34,307200,root,Fileserver=='sinap01b.ir.intel.com' && Disk=='vol0',/nfs/site/gen/adm/disk_metrics/nfs-scan/data/sie/sinap01b.ir.intel.com/vol0_SIE-CID_coletocreek_disk02.gz,Thu Feb 14 02:07:50 2013,gquinn dbmadiga,307200,300.0,307200,0.293,,,0,,Active,,false,,2,true,NETAPP,2770,301826,294.752,0.288,true,gquinn dbmadiga,0.983,,false,293234.113,78777.297,219112.102,34350.844,0.0,0.0,145406.797,,,,,3291677,
true,true,,SIE-CID_coletocreek_disk03,ibw.6179,SIE-CID_coletocreek_disk03,false,1,cmsbak002.isw.intel.com,,0,sisbak002-MSDP,,8,ECG,false,,,true,sie,,09/22/2011,09/22/2011 11:23:43,,false,N/A,Unlimited,frontend user sandbox & regression area,Active,,21,vol0,aggr0,false,,,0, sticky,,,-sec=sys rw=@sie_admin:@sie_prod_all root=@sie_admin,,Unix,jkearney dbmadiga jkenny ojcasey hmccarth dkeohane jhayes1 cc_admin * acunning,sinap01b.ir.intel.com,,,,07/07/2014 18:06:10,,false,false,false,false,false,,,07/07/2014 19:51:46,,07/07/2014 18:06:10,240577,,,,Unlimited,3072000,,,0,,,,0,/nfs/sie/disks/coletocreek.03,false,true,false,0,,145.999,gquinn,10686487 11225897,/nfs/sie/disks/coletocreek.03,,dbmadiga:read write execute clc:read write execute all:none  sticky,,,coletocreek,,,false,none,,09/22/2011,09/22/2011 11:23:32,307200,root,Fileserver=='sinap01b.ir.intel.com' && Disk=='vol0',/nfs/site/gen/adm/disk_metrics/nfs-scan/data/sie/sinap01b.ir.intel.com/vol0_SIE-CID_coletocreek_disk03.gz,Thu Feb 14 00:23:10 2013,gquinn dbmadiga,307200,300.0,307200,0.293,,,0,,Active,,false,,2,true,NETAPP,2770,240577,234.938,0.229,true,gquinn dbmadiga,0.783,,false,249088.18,9854.453,30766.559,350.375,0.0,0.0,15449.047,,,,,1130659,
true,true,,SIE-CID_coletocreek_disk04,ibw.6180,SIE-CID_coletocreek_disk04,false,1,cmsbak002.isw.intel.com,,0,sisbak002-MSDP,,8,ECG,false,,,true,sie,,09/22/2011,09/22/2011 11:24:59,,false,N/A,Unlimited,frontend user sandbox & regression area,Active,,21,vol0,aggr0,false,,,0, sticky,,,-sec=sys rw=@sie_admin:@sie_prod_all root=@sie_admin,,Unix,pkpatel dmmurph1 jhayes1 seosta mocoilea dbmadiga hmccarth ojcasey dkeohane cc_admin jkearney blynch pfleming gvp_ccv 28740 eadayrit aamehta1 * acunning sslamble pplower ssabneka jkenny mgbrophy ckingx jbarry gvp_ccd,sinap01b.ir.intel.com,,,,07/07/2014 17:58:24,,false,false,false,false,false,,,07/07/2014 19:51:46,,07/07/2014 17:58:24,300829,,,,Unlimited,3072000,,,0,,,,0,/nfs/sie/disks/coletocreek.04,false,true,false,0,,98.002,gquinn,10686487 11225897,/nfs/sie/disks/coletocreek.04,,dbmadiga:read write execute clc:read write execute all:none  sticky,,,coletocreek,,,false,none,,09/22/2011,09/22/2011 11:24:49,307200,root,Fileserver=='sinap01b.ir.intel.com' && Disk=='vol0',/nfs/site/gen/adm/disk_metrics/nfs-scan/data/sie/sinap01b.ir.intel.com/vol0_SIE-CID_coletocreek_disk04.gz,Wed Feb 13 23:06:56 2013,gquinn dbmadiga,307200,300.0,307200,0.293,,,0,,Active,,false,,2,true,NETAPP,2770,300829,293.778,0.287,true,gquinn dbmadiga,0.979,,false,273904.762,51835.797,131083.707,14093.086,0.0,0.0,115093.695,,,,,1084472,
true,true,,SIE-CID_coletocreek_disk05,ibw.6181,SIE-CID_coletocreek_disk05,false,1,cmsbak002.isw.intel.com,,0,sisbak002-MSDP,,8,ECG,false,,,true,sie,,09/22/2011,09/22/2011 11:25:32,,false,N/A,Unlimited,frontend user sandbox & regression area,Active,,21,vol0,aggr0,false,,,0, sticky,,,-sec=sys rw=@sie_admin:@sie_prod_all root=@sie_admin,,Unix,blynch jkearney gvp_ccv jhayes1 11437735 * acunning rhcastro amah pwaldron isobansk dbmadiga kbhatt hmccarth cc_admin,sinap01b.ir.intel.com,,,,07/07/2014 18:06:08,,false,false,false,false,false,,,07/07/2014 19:51:46,,07/07/2014 18:06:08,236169,,,,Unlimited,3072000,,,0,,,,0,/nfs/sie/disks/coletocreek.05,false,true,false,0,,509.996,gquinn,10686487 11225897,/nfs/sie/disks/coletocreek.05,,dbmadiga:read write execute clc:read write execute all:none  sticky,,,coletocreek,,,false,none,,09/22/2011,09/22/2011 11:25:20,307200,root,Fileserver=='sinap01b.ir.intel.com' && Disk=='vol0',/nfs/site/gen/adm/disk_metrics/nfs-scan/data/sie/sinap01b.ir.intel.com/vol0_SIE-CID_coletocreek_disk05.gz,Wed Feb 13 23:16:50 2013,gquinn dbmadiga,307200,300.0,307200,0.293,,,0,,Active,,false,,2,true,NETAPP,2770,236169,230.634,0.225,true,gquinn dbmadiga,0.769,,false,236415.383,433.004,89581.754,88.113,11.312,2.242,2331.922,,,,,2119791,
true,true,,SIE-CID_coletocreek_disk06,ibw.6182,SIE-CID_coletocreek_disk06,false,1,cmsbak002.isw.intel.com,,0,sisbak002-MSDP,,8,ECG,false,,,true,sie,,09/22/2011,09/22/2011 11:28:27,,false,N/A,Unlimited,frontend user sandbox & regression area,Active,,21,vol0,aggr0,false,,,0, sticky,,,-sec=sys rw=@sie_admin:@sie_prod_all root=@sie_admin,,Unix,ngdohert 26693 jhayes1 dfx_adm kmcgonig amah cmwolf 11386838 dbmadiga dkeohane cc_admin absapra kjankows aobrien gvp_ccv jbdiethe emerroch smurnane eadayrit nhughes 40308 * acunning pplower soneil3 kbhatt ckingx jaholtho roryburn gvp_ccd,sinap01b.ir.intel.com,,,,07/07/2014 18:00:21,,false,false,false,false,false,,,07/07/2014 19:51:46,,07/07/2014 18:00:21,285750,,,,Unlimited,3072000,,,0,,,,0,/nfs/sie/disks/coletocreek.06,false,true,false,0,,244.997,gquinn,10686487 11225897,/nfs/sie/disks/coletocreek.06,,dbmadiga:read write execute clc:read write execute all:none  sticky,,,coletocreek,,,false,none,,09/22/2011,09/22/2011 11:28:17,307200,root,Fileserver=='sinap01b.ir.intel.com' && Disk=='vol0',/nfs/site/gen/adm/disk_metrics/nfs-scan/data/sie/sinap01b.ir.intel.com/vol0_SIE-CID_coletocreek_disk06.gz,Wed Feb 13 23:05:33 2013,gquinn dbmadiga,307200,300.0,307200,0.293,,,0,,Active,,false,,2,true,NETAPP,2770,285750,279.053,0.273,true,gquinn dbmadiga,0.93,,false,284027.242,40805.145,158368.668,3931.41,0.0,0.0,74166.422,,,,,1584250,
