ActiveNoBackup,AppearsInAutoDetection,Archive,Area,AreaID,AreaName,AutoDetected,BaR_MPX,BaR_Master,BaR_NFS_Client,BaR_Priority,BaR_STU,BaR_Special,BaR_Tier,BusinessGroup,CIFS,CachePermissions,CachedCells,CanSetUserQuota,Cell,CmodeAreaName,Created,CreatedTimeFull,DNSName,DataDeletionApproved,DaysUntilDeletion,DefaultUserQuota,Description,DetailedStatus,DisabledNotification,DisabledPeriod,Disk,DiskPool,DoNotTouch,DoNotTouchDate,Duration,DurationPendingApproval,ExpandedPermissions,ExpirationDate,ExpirationTimeFull,Exports,FSGroups,FSType,FSUsers,FileServer,GlobalPathPrefix,Grace,GracePeriod,InfoCollectionTime,Intelproject,IsCache,IsDummy,IsOnLEHN,IsTargetOfMigration,Kerberos,LIF,LastAccessed,LastAutoDetectedTime,LastModified,LastNotEmptyTime,LastNotEmptyUsage,LocalFullPath,LocalPathPrefix,MasterCopy,MaxDuration,MaxSize,MetaLunId,MetaLunName,MetaLunSize,MigrationTargetAreaID,Mirrors,MonitoringContacts,MonitoringThreshold,Mounts,NeedArchiving,NoBackup,NoShrink,NotAutoDetectedAttempts,Notification,OpsPerDay,Owner,OwnerWWIDs,Path,PendingPermissionsRequests,Permissions,PhysicalDeletionTime,Policies,Project,QSlot,RaidType,ReadOnly,ReplicationState,Replicators,RequestDate,RequestTimeFull,RequestedSize,Requester,Requirements,ScanDetail,ScanTime,SecondaryOwners,Size,SizeGB,SizePendingApproval,SizeTB,SnapshotPolicy,SnapshotSchedules,SpecialMonitoring,StateChangedTime,Status,StodFSPermissions,Stod_Type,StorageGroup,Tier,TopUsersMonitoring,Type,Unix_Mode,Usage,UsageGB,UsageTB,UserQuotaOn,Users,Utilization,WaitReason,WasInternalized,age0,age180,age30,age360,age540,age720,age90,autosize,autosize_increment,data_category,max_autosize,numfiles,sharedpool
false,false,,11,ibw.6438,11,true,1,,,0,,,1,,false,,,false,ir,,11/07/2011,11/07/2011 18:23:16,,false,N/A,0,,Active,,,0,,false,,,0,,,,IRSCFLS002.ger.corp.intel.com IRSCFLS003.ger.corp.intel.com,,Unix,,irecx4480ec02a.ir.intel.com,,,,07/07/2014 16:20:07,,false,false,false,false,false,,,,,,0,,,,Unlimited,Unlimited,NO,,0,,,,0,,false,false,false,0,,0.0,unknown,,,,unknown:read write execute group:read execute setid all:none ,,,,,RAID5,false,none,,11/07/2011,11/07/2011 18:23:16,1024,unknown,,,,unknown,1024,1.0,1024,0.001,,,0,,Active,,false,,0,true,CLARIION,0,0,0.0,0.0,false,unknown,0.0,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,
false,false,,12,ibw.6439,12,true,1,,,0,,,1,,false,,,false,ir,,11/07/2011,11/07/2011 18:23:16,,false,N/A,0,,Active,,,0,,false,,,0,,,,IRSCSQL002.ger.corp.intel.com IRSCSQL003.ger.corp.intel.com,,Unix,,irecx4480ec02a.ir.intel.com,,,,07/07/2014 10:19:20,,false,false,false,false,false,,,,,,0,,,,Unlimited,Unlimited,NO,,0,,,,0,,false,false,false,0,,0.0,unknown,,,,unknown:read write execute group:read execute setid all:none ,,,,,RAID5,false,none,,11/07/2011,11/07/2011 18:23:16,1024,unknown,,,,unknown,1024,1.0,1024,0.001,,,0,,Active,,false,,0,true,CLARIION,0,0,0.0,0.0,false,unknown,0.0,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,
false,false,,13,ibw.6441,13,true,1,,,0,,,1,,false,,,false,ir,,11/07/2011,11/07/2011 18:28:26,,false,N/A,0,,Active,,,2,,false,,,0,,,,IRSCSQL002.ger.corp.intel.com IRSCSQL003.ger.corp.intel.com,,Unix,,irecx4480ec02a.ir.intel.com,,,,07/06/2014 20:48:54,,false,false,false,false,false,,,,,,0,,,,Unlimited,Unlimited,NO,,0,,,,0,,false,false,false,0,,0.0,unknown,,,,unknown:read write execute group:read execute setid all:none ,,,,,RAID5,false,none,,11/07/2011,11/07/2011 18:28:26,2048,unknown,,,,unknown,2048,2.0,2048,0.002,,,0,,Active,,false,,0,true,CLARIION,0,0,0.0,0.0,false,unknown,0.0,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,
false,false,,15,ibw.6440,15,true,1,,,0,,,1,,false,,,false,ir,,11/07/2011,11/07/2011 18:28:13,,false,N/A,0,,Active,,,3,,false,,,0,,,,IRSCVSH002.ger.corp.intel.com IRSCVSH003.ger.corp.intel.com,,Unix,,irecx4480ec02a.ir.intel.com,,,,07/07/2014 14:31:58,,false,false,false,false,false,,,,,,0,,,,Unlimited,Unlimited,NO,,0,,,,0,,false,false,false,0,,0.0,unknown,,,,unknown:read write execute group:read execute setid all:none ,,,,,RAID5,false,none,,11/07/2011,11/07/2011 18:28:13,1024,unknown,,,,unknown,1024,1.0,1024,0.001,,,0,,Active,,false,,0,true,CLARIION,0,0,0.0,0.0,false,unknown,0.0,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,
false,false,,2,ibw.6348,2,true,1,,,0,,,1,,false,,,false,ir,,10/28/2011,10/28/2011 15:28:25,,false,N/A,0,,Active,,,2,,false,,,0,,,,IRSCFLS002.ger.corp.intel.com IRSCFLS003.ger.corp.intel.com,,Unix,,irecx4480ec02a.ir.intel.com,,,,07/07/2014 10:43:11,,false,false,false,false,false,,,,,,0,,,,Unlimited,Unlimited,NO,,0,,,,0,,false,false,false,0,,0.0,unknown,,,,unknown:read write execute group:read execute setid all:none ,,,,,RAID5,false,none,,10/28/2011,10/28/2011 15:28:25,512000,unknown,,,,unknown,512000,500.0,512000,0.488,,,0,,Active,,false,,0,true,CLARIION,0,0,0.0,0.0,false,unknown,0.0,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,
false,false,,3,ibw.6349,3,true,1,,,0,,,1,,false,,,false,ir,,10/28/2011,10/28/2011 15:28:25,,false,N/A,0,,Active,,,2,,false,,,0,,,,IRSCFLS002.ger.corp.intel.com IRSCFLS003.ger.corp.intel.com,,Unix,,irecx4480ec02a.ir.intel.com,,,,07/07/2014 11:58:14,,false,false,false,false,false,,,,,,0,,,,Unlimited,Unlimited,NO,,0,,,,0,,false,false,false,0,,0.0,unknown,,,,unknown:read write execute group:read execute setid all:none ,,,,,RAID5,false,none,,10/28/2011,10/28/2011 15:28:25,512000,unknown,,,,unknown,512000,500.0,512000,0.488,,,0,,Active,,false,,0,true,CLARIION,0,0,0.0,0.0,false,unknown,0.0,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,
false,false,,4,ibw.6346,4,true,1,,,0,,,1,,false,,,false,ir,,10/28/2011,10/28/2011 15:28:12,,false,N/A,0,,Active,,,3,,false,,,0,,,,IRSCFLS002.ger.corp.intel.com IRSCFLS003.ger.corp.intel.com,,Unix,,irecx4480ec02a.ir.intel.com,,,,07/07/2014 05:28:43,,false,false,false,false,false,,,,,,0,,,,Unlimited,Unlimited,NO,,0,,,,0,,false,false,false,0,,0.0,unknown,,,,unknown:read write execute group:read execute setid all:none ,,,,,RAID5,false,none,,10/28/2011,10/28/2011 15:28:12,512000,unknown,,,,unknown,512000,500.0,512000,0.488,,,0,,Active,,false,,0,true,CLARIION,0,0,0.0,0.0,false,unknown,0.0,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,
false,false,,41,ibw.8733,41,true,1,,,0,,,1,,false,,,false,ir,,12/31/2012,12/31/2012 14:09:01,,false,N/A,0,,Active,,,9,,false,,,0,,,,,,Unix,,irecx4480ec02a.ir.intel.com,,,,10/17/2013 09:47:32,,false,false,false,false,false,,,,,,0,,,,Unlimited,Unlimited,NO,,0,,,,0,,false,false,false,0,,0.0,unknown,,,,unknown:read write execute group:read execute setid all:none ,,,,,RAID5,false,none,,12/31/2012,12/31/2012 14:09:01,128000,unknown,,,,unknown,128000,125.0,128000,0.122,,,0,,Active,,false,,0,true,CLARIION,0,0,0.0,0.0,false,unknown,0.0,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,
false,false,,42,ibw.8734,42,true,1,,,0,,,1,,false,,,false,ir,,12/31/2012,12/31/2012 14:09:01,,false,N/A,0,,Active,,,9,,false,,,0,,,,,,Unix,,irecx4480ec02a.ir.intel.com,,,,10/17/2013 09:42:16,,false,false,false,false,false,,,,,,0,,,,Unlimited,Unlimited,NO,,0,,,,0,,false,false,false,0,,0.0,unknown,,,,unknown:read write execute group:read execute setid all:none ,,,,,RAID5,false,none,,12/31/2012,12/31/2012 14:09:01,128000,unknown,,,,unknown,128000,125.0,128000,0.122,,,0,,Active,,false,,0,true,CLARIION,0,0,0.0,0.0,false,unknown,0.0,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,
false,false,,5,ibw.6347,5,true,1,,,0,,,1,,false,,,false,ir,,10/28/2011,10/28/2011 15:28:12,,false,N/A,0,,Active,,,3,,false,,,0,,,,IRSCFLS002.ger.corp.intel.com IRSCFLS003.ger.corp.intel.com,,Unix,,irecx4480ec02a.ir.intel.com,,,,07/07/2014 12:35:36,,false,false,false,false,false,,,,,,0,,,,Unlimited,Unlimited,NO,,0,,,,0,,false,false,false,0,,0.0,unknown,,,,unknown:read write execute group:read execute setid all:none ,,,,,RAID5,false,none,,10/28/2011,10/28/2011 15:28:12,256000,unknown,,,,unknown,256000,250.0,256000,0.244,,,0,,Active,,false,,0,true,CLARIION,0,0,0.0,0.0,false,unknown,0.0,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,
