ActiveNoBackup,AppearsInAutoDetection,Archive,Area,AreaID,AreaName,AutoDetected,BaR_MPX,BaR_Master,BaR_NFS_Client,BaR_Priority,BaR_STU,BaR_Special,BaR_Tier,BusinessGroup,CIFS,CachePermissions,CachedCells,CanSetUserQuota,Cell,CmodeAreaName,Created,CreatedTimeFull,DNSName,DataDeletionApproved,DaysUntilDeletion,DefaultUserQuota,Description,DetailedStatus,DisabledNotification,DisabledPeriod,Disk,DiskPool,DoNotTouch,DoNotTouchDate,Duration,DurationPendingApproval,ExpandedPermissions,ExpirationDate,ExpirationTimeFull,Exports,FSGroups,FSType,FSUsers,FileServer,GlobalPathPrefix,Grace,GracePeriod,InfoCollectionTime,Intelproject,IsCache,IsDummy,IsOnLEHN,IsTargetOfMigration,Kerberos,LIF,LastAccessed,LastAutoDetectedTime,LastModified,LastNotEmptyTime,LastNotEmptyUsage,LocalFullPath,LocalPathPrefix,MasterCopy,MaxDuration,MaxSize,MetaLunId,MetaLunName,MetaLunSize,MigrationTargetAreaID,Mirrors,MonitoringContacts,MonitoringThreshold,Mounts,NeedArchiving,NoBackup,NoShrink,NotAutoDetectedAttempts,Notification,OpsPerDay,Owner,OwnerWWIDs,Path,PendingPermissionsRequests,Permissions,PhysicalDeletionTime,Policies,Project,QSlot,RaidType,ReadOnly,ReplicationState,Replicators,RequestDate,RequestTimeFull,RequestedSize,Requester,Requirements,ScanDetail,ScanTime,SecondaryOwners,Size,SizeGB,SizePendingApproval,SizeTB,SnapshotPolicy,SnapshotSchedules,SpecialMonitoring,StateChangedTime,Status,StodFSPermissions,Stod_Type,StorageGroup,Tier,TopUsersMonitoring,Type,Unix_Mode,Usage,UsageGB,UsageTB,UserQuotaOn,Users,Utilization,WaitReason,WasInternalized,age0,age180,age30,age360,age540,age720,age90,autosize,autosize_increment,data_category,max_autosize,numfiles,sharedpool
false,true,,Compiler,ibw.1339,Compiler,false,1,cmsbak002.isw.intel.com,,0,,Backup_Duplication,1,IT,false,,,false,iul,,07/28/2008,07/28/2008 11:36:11,,false,N/A,0,,Active,,21,vol1,aggr1,false,,,0,,,,Unexported,,ntfs,,ulsfiler01,,,,07/07/2014 18:06:12,,false,false,false,false,false,,,07/07/2014 19:29:56,,07/07/2014 18:06:12,17639,,,,Unlimited,Unlimited,,,0,,,,0,file://ulsfiler01/AS-test,false,false,false,0,,1.0,aschaefe,10661073,file://ulsfiler01/AS-test,,root:none root:none all:none ,,,EC,,,false,none,,07/28/2008,07/28/2008 11:36:11,30720,aschaefe,,,,aschaefe,30720,30.0,30720,0.029,,,0,,Active,,false,,3,true,NETAPP,0,17639,17.226,0.017,false,aschaefe,0.574,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,350338,
false,true,,Documentation,ibw.1341,Documentation,false,1,cmsbak002.isw.intel.com,,0,,Backup_Duplication,1,SSG,false,,,false,iul,,07/28/2008,07/28/2008 11:36:11,,false,N/A,0,,Active,,21,vol1,aggr1,false,,,0,,,,-sec=sys rw=@iul_admin root=@iul_admin,,ntfs,,ulsfiler01,,,,07/07/2014 19:06:03,,false,false,false,false,false,,,07/07/2014 19:29:56,,07/07/2014 19:06:03,3459,,,,Unlimited,1536000,,,0,,,,0,/ulsfiler01/Documentation,false,false,false,0,,8119.992,ftitze,10660939,/ulsfiler01/Documentation,,root:none root:none all:none ,,,idb,,,false,none,,07/28/2008,07/28/2008 11:36:11,10240,ftitze,,,,ftitze,10240,10.0,10240,0.01,,,0,,Active,,false,,3,true,NETAPP,0,3459,3.378,0.003,false,ftitze,0.338,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,56060,
false,true,,EngSupportExch,ibw.1343,EngSupportExch,false,1,cmsbak002.isw.intel.com,,0,,Backup_Duplication,1,SSG,false,,,false,iul,,07/28/2008,07/28/2008 11:36:12,,false,N/A,0,,Active,,21,vol1,aggr1,false,,,0,,,,-sec=sys rw=@iul_admin root=@iul_admin,,ntfs,,ulsfiler01,,,,07/07/2014 17:58:26,,false,false,false,false,false,,,07/07/2014 19:29:56,,07/07/2014 17:58:26,0,,,,Unlimited,1536000,,,0,,,,0,/ulsfiler01/EngSupportExch,false,false,false,0,,257.003,tzipplie,10660854,/ulsfiler01/EngSupportExch,,root:none root:none all:none ,,,idb,,,false,none,,07/28/2008,07/28/2008 11:36:11,5120,ftitze,,,,tzipplie,5120,5.0,5120,0.005,,,0,,Active,,false,,3,true,NETAPP,0,0,0.0,0.0,false,tzipplie,0.0,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4,
false,true,,HR,ibw.1336,HR,false,1,cmsbak002.isw.intel.com,,0,,Backup_Duplication,1,SSG,false,,,false,iul,,07/28/2008,07/28/2008 11:35:59,,false,N/A,0,,Active,,21,vol0,aggr2,false,,,0,,,,Unexported,,ntfs,,ulsfiler01,,,,07/07/2014 18:00:50,,false,false,false,false,false,,,07/07/2014 19:23:31,,07/07/2014 18:00:50,23,,,,Unlimited,1536000,,,0,,,,0,/ulsfiler01/HR,false,false,false,0,,1.0,ftitze,10660939,/ulsfiler01/HR,,root:none root:none all:none ,,,HR,,,false,none,,07/28/2008,07/28/2008 11:35:59,2048,aschaefe,,,,ftitze,2048,2.0,2048,0.002,,,0,,Active,,false,,3,true,NETAPP,0,23,0.022,0.0,false,ftitze,0.011,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,237,
false,true,,Library,ibw.1346,Library,false,1,cmsbak002.isw.intel.com,,0,,Backup_Duplication,1,SSG,false,,,false,iul,,07/28/2008,07/28/2008 11:36:12,,false,N/A,0,,Active,,21,vol1,aggr1,false,,,0,,,,-sec=sys rw=@iul_admin root=@iul_admin,,ntfs,,ulsfiler01,,,,07/07/2014 18:03:15,,false,false,false,false,false,,,07/07/2014 19:29:56,,07/07/2014 18:03:15,19,,,,Unlimited,1536000,,,0,,,,0,/ulsfiler01/Library,false,false,false,0,,15.0,ftitze,10660939,/ulsfiler01/Library,,root:none root:none all:none ,,,idb,,,false,none,,07/28/2008,07/28/2008 11:36:12,200,ftitze,,,,ftitze,200,0.195,200,0.0,,,0,,Active,,false,,3,true,NETAPP,0,19,0.019,0.0,false,ftitze,0.095,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,240,
false,true,,PV,ibw.1470,PV,false,1,cmsbak002.isw.intel.com,,0,,Backup_Duplication,1,SSG,false,,,false,iul,,09/28/2008,09/28/2008 16:06:41,,false,N/A,0,,Active,,21,vol4,aggr1,false,,,0,,,,-sec=sys rw=@iul_admin root=@iul_admin,,ntfs,,ulsfiler04,,,,07/07/2014 18:02:27,,false,false,false,false,false,,,07/07/2014 19:36:09,,07/07/2014 18:02:27,10598,,,,Unlimited,1536000,,,0,,,,0,/ulsfiler04/PV,false,false,false,0,,112.0,ftitze,10660939,/ulsfiler04/PV,,root:none root:none all:none ,,,idb,,,false,none,,09/28/2008,09/28/2008 16:06:41,20480,ftitze,,,,ftitze,20480,20.0,20480,0.02,,,0,,Active,,false,,3,true,NETAPP,0,10598,10.35,0.01,false,ftitze,0.517,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,38113,
false,true,,QA,ibw.1347,QA,false,1,cmsbak002.isw.intel.com,,0,,Backup_Duplication,1,SSG,false,,,false,iul,,07/28/2008,07/28/2008 11:36:12,,false,N/A,0,,Active,,21,vol1,aggr1,false,,,0,,,,-sec=sys rw=@iul_admin root=@iul_admin,,ntfs,,ulsfiler01,,,,07/07/2014 18:03:40,,false,false,false,false,false,,,07/07/2014 19:29:56,,07/07/2014 18:03:40,42098,,,,Unlimited,1536000,,,0,,,,0,/ulsfiler01/QA,false,false,false,0,,3.0,ftitze,10660939,/ulsfiler01/QA,,root:none root:none all:none ,,,idb,,,false,none,,07/28/2008,07/28/2008 11:36:12,51200,ftitze,,,,ftitze,51200,50.0,51200,0.049,,,0,,Active,,false,,3,true,NETAPP,0,42098,41.111,0.04,false,ftitze,0.822,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,28755,
false,true,,QuADTransfer,ibw.1348,QuADTransfer,false,1,cmsbak002.isw.intel.com,,0,,Backup_Duplication,1,SSG,false,,,false,iul,,07/28/2008,07/28/2008 11:36:12,,false,N/A,0,,Active,,21,vol1,aggr1,false,,,0,,,,-sec=sys rw=@iul_admin root=@iul_admin,,ntfs,,ulsfiler01,,,,07/07/2014 18:06:34,,false,false,false,false,false,,,07/07/2014 19:29:56,,07/07/2014 18:06:34,0,,,,Unlimited,1536000,,,0,,,,0,/ulsfiler01/QuADTransfer,false,false,false,0,,1.0,ftitze,10660939,/ulsfiler01/QuADTransfer,,root:none root:none all:none ,,,idb,,,false,none,,07/28/2008,07/28/2008 11:36:12,10240,ftitze,,,,ftitze,10240,10.0,10240,0.01,,,0,,Active,,false,,3,true,NETAPP,0,0,0.0,0.0,false,ftitze,0.0,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1,
false,true,,Support,ibw.3341,Support,false,1,cmsbak002.isw.intel.com,,0,,Backup_Duplication,1,SSG,false,,,false,iul,,11/28/2009,11/28/2009 22:24:55,,false,N/A,0,,Active,,21,vol3,aggr1,false,,,0,,,,-sec=sys rw=@iul_admin root=@iul_admin,,ntfs,,ulsfiler01,,,,07/07/2014 18:02:57,,false,false,false,false,false,,,07/07/2014 19:51:42,,07/07/2014 18:02:57,433,,,,Unlimited,1536000,,,0,,,,0,file://ulsfiler01/Support,false,false,false,0,,1.0,tzipplie,10660854,file://ulsfiler01/Support,,root:none root:none all:none ,,,idb,,,false,none,,11/28/2009,11/28/2009 22:24:55,10240,tzipplie,,,,tzipplie,10240,10.0,10240,0.01,,,0,,Active,,false,,3,true,NETAPP,0,433,0.423,0.0,false,tzipplie,0.042,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,11398,
false,true,,Training,ibw.1350,Training,false,1,cmsbak002.isw.intel.com,,0,,Backup_Duplication,1,SSG,false,,,false,iul,,07/28/2008,07/28/2008 11:36:12,,false,N/A,0,,Active,,21,vol1,aggr1,false,,,0,,,,-sec=sys rw=@iul_admin root=@iul_admin,,ntfs,,ulsfiler01,,,,07/07/2014 18:01:50,,false,false,false,false,false,,,07/07/2014 19:29:56,,07/07/2014 18:01:50,9444,,,,Unlimited,1536000,,,0,,,,0,/ulsfiler01/Training,false,false,false,0,,222.997,ftitze,10660939,/ulsfiler01/Training,,root:none root:none all:none ,,,idb,,,false,none,,07/28/2008,07/28/2008 11:36:12,10240,ftitze,,,,ftitze,10240,10.0,10240,0.01,,,0,,Active,,false,,3,true,NETAPP,0,9444,9.223,0.009,false,ftitze,0.922,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,21934,
