ActiveNoBackup,AppearsInAutoDetection,Archive,Area,AreaID,AreaName,AutoDetected,BaR_MPX,BaR_Master,BaR_NFS_Client,BaR_Priority,BaR_STU,BaR_Special,BaR_Tier,BusinessGroup,CIFS,CachePermissions,CachedCells,CanSetUserQuota,Cell,CmodeAreaName,Created,CreatedTimeFull,DNSName,DataDeletionApproved,DaysUntilDeletion,DefaultUserQuota,Description,DetailedStatus,DisabledNotification,DisabledPeriod,Disk,DiskPool,DoNotTouch,DoNotTouchDate,Duration,DurationPendingApproval,ExpandedPermissions,ExpirationDate,ExpirationTimeFull,Exports,FSGroups,FSType,FSUsers,FileServer,GlobalPathPrefix,Grace,GracePeriod,InfoCollectionTime,Intelproject,IsCache,IsDummy,IsOnLEHN,IsTargetOfMigration,Kerberos,LIF,LastAccessed,LastAutoDetectedTime,LastModified,LastNotEmptyTime,LastNotEmptyUsage,LocalFullPath,LocalPathPrefix,MasterCopy,MaxDuration,MaxSize,MetaLunId,MetaLunName,MetaLunSize,MigrationTargetAreaID,Mirrors,MonitoringContacts,MonitoringThreshold,Mounts,NeedArchiving,NoBackup,NoShrink,NotAutoDetectedAttempts,Notification,OpsPerDay,Owner,OwnerWWIDs,Path,PendingPermissionsRequests,Permissions,PhysicalDeletionTime,Policies,Project,QSlot,RaidType,ReadOnly,ReplicationState,Replicators,RequestDate,RequestTimeFull,RequestedSize,Requester,Requirements,ScanDetail,ScanTime,SecondaryOwners,Size,SizeGB,SizePendingApproval,SizeTB,SnapshotPolicy,SnapshotSchedules,SpecialMonitoring,StateChangedTime,Status,StodFSPermissions,Stod_Type,StorageGroup,Tier,TopUsersMonitoring,Type,Unix_Mode,Usage,UsageGB,UsageTB,UserQuotaOn,Users,Utilization,WaitReason,WasInternalized,age0,age180,age30,age360,age540,age720,age90,autosize,autosize_increment,data_category,max_autosize,numfiles,sharedpool
false,true,,eda_adm,ibw.6638,eda_adm,false,1,cmsbak002.isw.intel.com,,0,spsbak002-MSDP,Backup_Local,7,IT,false,,,false,upc,,12/06/2011,12/06/2011 16:35:18,,false,N/A,0,,Active,,21,vol5,aggr0,false,,,0,,,,-sec=sys rw=@upc_prod_all:@upc_admin root=@upc_admin,,Unix,cadlib root,spnap01b.upc.intel.com,,,,07/07/2014 17:58:32,,false,false,false,false,false,,,07/07/2014 19:04:57,,07/07/2014 17:58:32,0,,,,Unlimited,Unlimited,,,0,,,,0,/nfs/upc/eda/adm,false,false,false,0,,1.0,cadlib,10549543,/nfs/upc/eda/adm,,0:read write execute 0:read write execute all:read execute ,,,EC,eda,,false,none,,12/06/2011,12/06/2011 16:16:05,1,jvaquero,((FileServer=='spnap01b.upc.intel.com') && (Disk=='vol5')),/nfs/site/gen/adm/disk_metrics/nfs-scan/data/upc/spnap01b.upc.intel.com/vol5_eda_adm.gz,Sun May 25 11:41:43 2014,cadlib,1,0.001,1,0.0,,,0,,Active,,false,,3,true,NETAPP,775,0,0.0,0.0,false,cadlib,0.0,,false,0.277,0.156,0.203,0.098,0.0,0.0,0.188,,,,,35,
false,true,,eda_data_disk001,ibw.6644,eda_data_disk001,false,1,cmsbak002.isw.intel.com,,0,spsbak002-MSDP,Backup_Local,7,IT,false,,,false,upc,,12/07/2011,12/07/2011 09:55:26,,false,N/A,0,,Active,,21,vol5,aggr0,false,,,0,,,,-sec=sys rw=@upc_prod_all:@upc_admin root=@upc_admin,,Unix,203 57780 cadlib,spnap01b.upc.intel.com,,,,07/07/2014 18:04:31,,false,false,false,false,false,,,07/07/2014 19:04:57,,07/07/2014 18:04:31,78887,,,,Unlimited,Unlimited,,,0,,,,0,/nfs/upc/eda/data,false,false,false,0,,1.0,cadlib,10549543,/nfs/upc/eda/data,,273:read write execute 166:read write execute all:read execute ,,,EC,eda,,false,none,,12/07/2011,12/07/2011 09:39:53,174080,jvaquero,((FileServer=='spnap01b.upc.intel.com') && (Disk=='vol5')),/nfs/site/gen/adm/disk_metrics/nfs-scan/data/upc/spnap01b.upc.intel.com/vol5_eda_data_disk001.gz,Sat May 24 23:25:59 2014,cadlib,174080,170.0,174080,0.166,,,0,,Active,,false,,3,true,NETAPP,775,78887,77.038,0.075,false,cadlib,0.453,,false,79166.094,48749.715,78446.266,40371.594,0.0,0.0,77844.762,,,,,969630,
false,true,,eda_group,ibw.6639,eda_group,false,1,cmsbak002.isw.intel.com,,0,spsbak002-MSDP,Backup_Local,7,IT,false,,,false,upc,,12/06/2011,12/06/2011 16:55:09,,false,N/A,0,,Active,,21,vol5,aggr0,false,,,0,,,,-sec=sys rw=@upc_prod_all:@upc_admin root=@upc_admin,,Unix,cadlib,spnap01b.upc.intel.com,,,,07/07/2014 17:59:10,,false,false,false,false,false,,,07/07/2014 19:04:57,,07/07/2014 17:59:10,0,,,,Unlimited,Unlimited,,,0,,,,0,/nfs/upc/eda/group /nfs/upc/eda/.group,false,false,false,0,,1.0,cadlib,10549543,/nfs/upc/eda/.group,,273:read write execute 0:read execute all:read execute ,,,EC,eda,,false,none,,12/06/2011,12/06/2011 16:35:57,10,jvaquero,((FileServer=='spnap01b.upc.intel.com') && (Disk=='vol5')),/nfs/site/gen/adm/disk_metrics/nfs-scan/data/upc/spnap01b.upc.intel.com/vol5_eda_group.gz,Sun May 25 09:31:36 2014,cadlib,10,0.01,10,0.0,,,0,,Active,,false,,3,true,NETAPP,755,0,0.0,0.0,false,cadlib,0.0,,false,1.297,0.035,0.035,0.035,0.0,0.0,0.035,,,,,435,
false,true,,eda_license,ibw.6640,eda_license,false,1,cmsbak002.isw.intel.com,,0,spsbak002-MSDP,Backup_Local,7,IT,false,,,false,upc,,12/06/2011,12/06/2011 17:15:21,,false,N/A,0,,Active,,21,vol5,aggr0,false,,,0,,,,-sec=sys rw=@upc_prod_all:@upc_admin root=@upc_admin,,Unix,cadlib root,spnap01b.upc.intel.com,,,,07/07/2014 18:00:59,,false,false,false,false,false,,,07/07/2014 19:04:57,,07/07/2014 18:00:59,2,,,,Unlimited,Unlimited,,,0,,,,0,/nfs/upc/eda/.license /nfs/upc/eda/license,false,false,false,0,,1.0,cadlib,10549543,/nfs/upc/eda/license,,0:read write execute 0:read write execute all:read execute ,,,EC,eda,,false,none,,12/06/2011,12/06/2011 16:56:05,20,jvaquero,((FileServer=='spnap01b.upc.intel.com') && (Disk=='vol5')),/nfs/site/gen/adm/disk_metrics/nfs-scan/data/upc/spnap01b.upc.intel.com/vol5_eda_license.gz,Sun May 25 09:31:57 2014,cadlib,20,0.02,20,0.0,,,0,,Active,,false,,3,true,NETAPP,775,2,0.002,0.0,false,cadlib,0.1,,false,3.91,2.348,2.426,2.348,0.0,0.0,2.422,,,,,842,
false,true,,eda_tools,ibw.6641,eda_tools,false,1,cmsbak002.isw.intel.com,,0,spsbak002-MSDP,Backup_Local,7,IT,false,,,false,upc,,12/06/2011,12/06/2011 21:55:16,,false,N/A,0,,Active,,21,vol5,aggr0,false,,,0,,,,-sec=sys rw=@upc_prod_all:@upc_admin root=@upc_admin,,Unix,cadlib root,spnap01b.upc.intel.com,,,,07/07/2014 18:03:19,,false,false,false,false,false,,,07/07/2014 19:04:57,,07/07/2014 18:03:19,0,,,,Unlimited,Unlimited,,,0,,,,0,/nfs/upc/eda/.tools /nfs/upc/eda/tools /nfs/upc/eda/tools-migration,false,false,false,0,,1.0,cadlib,10549543,/nfs/upc/eda/tools-migration,,273:read write execute 166:read execute all:read execute ,,,EC,eda,,false,none,,12/06/2011,12/06/2011 21:41:49,5,jvaquero,((FileServer=='spnap01b.upc.intel.com') && (Disk=='vol5')),/nfs/site/gen/adm/disk_metrics/nfs-scan/data/upc/spnap01b.upc.intel.com/vol5_eda_tools.gz,Mon May 26 13:53:35 2014,cadlib,5,0.005,5,0.0,,,0,,Active,,false,,3,true,NETAPP,755,0,0.0,0.0,false,cadlib,0.0,,false,0.82,0.355,0.359,0.355,0.0,0.0,0.359,,,,,149,
false,true,,gen_adm_osgot,ibw.6699,gen_adm_osgot,false,1,cmsbak002.isw.intel.com,,0,spsbak002-MSDP,,7,IT,false,,,false,upc,,12/18/2011,12/18/2011 18:32:44,,false,N/A,0,,Active,,21,vol5,aggr0,false,,,0,,,,-sec=sys rw=@upc_prod_all:@upc_admin root=@upc_admin,,Unix,root,spnap01b.upc.intel.com,,,,07/07/2014 18:06:38,,false,false,false,false,false,,,07/07/2014 19:04:57,,07/07/2014 18:06:38,3243,,,,Unlimited,Unlimited,,,0,,,,0,/nfs/upc/disks/gen_adm_osgot,false,false,false,0,,25.001,jvaquero,10688192,/nfs/upc/disks/gen_adm_osgot,,0:read write execute 38416:read write execute all:read execute ,,,EC,,,false,none,,12/18/2011,12/18/2011 18:32:44,10240,root,,/nfs/site/gen/adm/disk_metrics/nfs-scan/data/upc/spnap01b.upc.intel.com/vol5_gen_adm_osgot.gz,Sun May 25 13:04:35 2014,jvaquero,10240,10.0,10240,0.01,,,0,,Active,,false,,3,true,NETAPP,775,3243,3.167,0.003,false,jvaquero,0.317,,true,3272.652,3237.797,3237.801,3237.469,0.0,0.0,3237.801,,,,,20715,
false,true,,itools,ibw.5805,itools,false,1,cmsbak002.isw.intel.com,,0,spsbak002-MSDP,Backup_Local,7,IT,false,,,false,upc,,08/10/2011,08/10/2011 13:55:16,,false,N/A,0,,Active,,21,vol5,aggr0,false,,,0,,,,-sec=sys rw=@upc_prod_all:@upc_admin root=@upc_admin,,Unix,gmagklis mfernan3 57712 root washmgr 57751 pmarcuel 57755 usrintel 57780 209,spnap01b.upc.intel.com,,,,07/07/2014 18:06:55,,false,false,false,false,false,,,07/07/2014 19:04:57,,07/07/2014 18:06:55,258562,,,,Unlimited,Unlimited,,,0,,,,0,/nfs/upc/.itools /nfs/upc/itools /nfs/upc/dsm_mount_check,false,false,false,0,,1164625.56,usrintel,10664209,/nfs/upc/.itools,,47535:read write execute 42115:read execute all:read execute ,,,EC,itools,,false,none,,08/10/2011,08/10/2011 13:38:38,307200,jvaquero,Disk=='vol5' && FileServer=='spnap01b.upc.intel.com',/nfs/site/gen/adm/disk_metrics/nfs-scan/data/upc/spnap01b.upc.intel.com/vol5_itools.gz,Sun May 25 06:46:03 2014,usrintel,307200,300.0,307200,0.293,,,0,,Active,,false,,3,true,NETAPP,755,258562,252.502,0.247,false,usrintel,0.842,,false,258601.02,236898.066,248946.523,217450.633,0.0,0.0,242204.68,,,,,5483685,
false,true,,patriot_tools,ibw.8269,patriot_tools,false,1,cmsbak002.isw.intel.com,,0,spsbak002-MSDP,,7,IT,false,,,false,upc,,09/11/2012,09/11/2012 18:54:36,,false,N/A,0,,Active,,21,vol2,aggr0,false,,,0,,,,-sec=sys rw=@upc_prod_all:@upc_admin root=@upc_admin,,Unix,mzilberm 11305174 11407034 tnov jonhall 50685 ewallace 10064419 12644 seldar 11300412,spnap01b.upc.intel.com,,,,07/07/2014 17:59:20,,false,false,false,false,false,,,07/07/2014 19:23:17,,07/07/2014 17:59:20,9219,,,,Unlimited,Unlimited,,,0,,,,0,/nfs/upc/disks/dpg/patriot_tools /nfs/upc/proj/dpg/patriot_tools,false,false,false,0,,1.0,patriot,11305031,/nfs/upc/proj/dpg/patriot_tools,,57762:read write execute 12460:read write execute all:read execute ,,,EC,,,false,none,,09/11/2012,09/11/2012 18:54:15,40960,amalka2x,,/nfs/site/gen/adm/disk_metrics/nfs-scan/data/upc/spnap01b.upc.intel.com/vol2_patriot_tools.gz,Mon May 26 15:35:36 2014,patriot,40960,40.0,0,0.039,,,0,,Active,,false,,3,true,NETAPP,775,9219,9.003,0.009,false,patriot,0.225,,false,9343.879,4291.84,8583.391,677.168,0.0,0.0,7361.949,,,,,281232,
false,true,,upc-ec_ecgo,ibw.6700,upc-ec_ecgo,false,1,cmsbak002.isw.intel.com,,0,spsbak002-MSDP,,7,IT,false,,,false,upc,,12/18/2011,12/18/2011 18:32:44,,false,N/A,0,,Active,,21,vol5,aggr0,false,,,0,,,,-sec=sys rw=@upc_prod_all:@upc_admin root=@upc_admin,,Unix,arozen2x agorianx 11245962 tdyshkan root 11418391 49652 amalka2x abezrodx yhadar 65534,spnap01b.upc.intel.com,,,,07/07/2014 18:06:18,,false,false,false,false,false,,,07/07/2014 19:04:57,,07/07/2014 18:06:18,3,,,,Unlimited,Unlimited,,,0,,,,0,/nfs/upc/disks/ecgo,false,false,false,0,,26.0,jvaquero,10688192,/nfs/upc/disks/ecgo,,0:read write execute 0:read write execute all:read execute ,,,EC,,,false,none,,12/18/2011,12/18/2011 18:32:44,1024,jvaquero,,/nfs/site/gen/adm/disk_metrics/nfs-scan/data/upc/spnap01b.upc.intel.com/vol5_upc-ec_ecgo.gz,Sat May 24 22:53:42 2014,jvaquero,1024,1.0,1024,0.001,,,0,,Active,,false,,3,true,NETAPP,775,3,0.003,0.0,false,jvaquero,0.003,,true,3.738,2.191,2.988,1.984,0.0,0.0,2.492,,,,,432,
true,true,,upc-ec_netbackup,ibw.6174,upc-ec_netbackup,false,1,cmsbak002.isw.intel.com,,0,spsbak002-MSDP,No_Backup,7,IT,false,,,false,upc,,09/22/2011,09/22/2011 07:58:15,,false,N/A,0,,Active,,21,vol5,aggr0,false,,,0, sticky,,,-sec=sys rw=@upc_admin root=@upc_admin,,Unix,root sluboszc ecbaradm,spnap01b.upc.intel.com,,,,07/07/2014 18:05:11,,false,false,false,false,false,,,07/07/2014 19:04:57,,07/07/2014 18:05:11,21741,,,,Unlimited,Unlimited,,,0,,,,0,/nfs/upc/disks/ec_netbackup,false,true,false,0,,1.0,mjphelps,10986900,/nfs/upc/disks/ec_netbackup,,1152:read write execute 2441:read write execute all:read execute  sticky,,,EC,,,false,none,,09/22/2011,09/22/2011 07:57:55,25600,root,Fileserver='spnap01b.upc.intel.com' && Disk='vol5',/nfs/site/gen/adm/disk_metrics/nfs-scan/data/upc/spnap01b.upc.intel.com/vol5_upc-ec_netbackup.gz,Sun May 25 10:39:47 2014,mjphelps,25600,25.0,25600,0.024,,,0,,Active,,false,,3,true,NETAPP,2775,21741,21.231,0.021,false,mjphelps,0.849,,false,21741.148,21740.727,21740.727,17580.629,17580.629,4747.73,21740.727,,,,,1174,
