ActiveNoBackup,AppearsInAutoDetection,Archive,Area,AreaID,AreaName,AutoDetected,BaR_MPX,BaR_Master,BaR_NFS_Client,BaR_Priority,BaR_STU,BaR_Special,BaR_Tier,BusinessGroup,CIFS,CachePermissions,CachedCells,CanSetUserQuota,Cell,CmodeAreaName,Created,CreatedTimeFull,DNSName,DataDeletionApproved,DaysUntilDeletion,DefaultUserQuota,Description,DetailedStatus,DisabledNotification,DisabledPeriod,Disk,DiskPool,DoNotTouch,DoNotTouchDate,Duration,DurationPendingApproval,ExpandedPermissions,ExpirationDate,ExpirationTimeFull,Exports,FSGroups,FSType,FSUsers,FileServer,GlobalPathPrefix,Grace,GracePeriod,InfoCollectionTime,Intelproject,IsCache,IsDummy,IsOnLEHN,IsTargetOfMigration,Kerberos,LIF,LastAccessed,LastAutoDetectedTime,LastModified,LastNotEmptyTime,LastNotEmptyUsage,LocalFullPath,LocalPathPrefix,MasterCopy,MaxDuration,MaxSize,MetaLunId,MetaLunName,MetaLunSize,MigrationTargetAreaID,Mirrors,MonitoringContacts,MonitoringThreshold,Mounts,NeedArchiving,NoBackup,NoShrink,NotAutoDetectedAttempts,Notification,OpsPerDay,Owner,OwnerWWIDs,Path,PendingPermissionsRequests,Permissions,PhysicalDeletionTime,Policies,Project,QSlot,RaidType,ReadOnly,ReplicationState,Replicators,RequestDate,RequestTimeFull,RequestedSize,Requester,Requirements,ScanDetail,ScanTime,SecondaryOwners,Size,SizeGB,SizePendingApproval,SizeTB,SnapshotPolicy,SnapshotSchedules,SpecialMonitoring,StateChangedTime,Status,StodFSPermissions,Stod_Type,StorageGroup,Tier,TopUsersMonitoring,Type,Unix_Mode,Usage,UsageGB,UsageTB,UserQuotaOn,Users,Utilization,WaitReason,WasInternalized,age0,age180,age30,age360,age540,age720,age90,autosize,autosize_increment,data_category,max_autosize,numfiles,sharedpool
false,true,,NC-UMG_pnparch,ir.10969,NC-UMG_pnparch,false,1,cmsbak002.isw.intel.com,,0,ncsbak001-MSDP,,4,UMG,false,,,false,nc,,09/12/2013,09/12/2013 09:25:31,,false,N/A,0,,Active,,21,vol2,aggr0,false,,,0,,,,-sec=sys rw=@nc_admin:@nc_prod_all:10.237.164.0/23 root=@nc_admin:10.237.164.0/23,,Unix,,ncnap01a.nc.intel.com,,,,07/07/2014 19:25:27,,false,false,false,false,false,,,07/07/2014 19:39:58,,07/07/2014 19:25:27,777451,,,,Unlimited,2048000,,,0,,,,0,/nfs/nc/disks/pnparch /nfs/nc/proj/pnparch,false,false,false,0,,254573.629,lthiry,10638180,/nfs/nc/disks/pnparch,,atoubeau:read write execute pnparch:read execute all:none ,,,pnparch,,,false,none,,09/12/2013,09/12/2013 09:25:20,1024000,aloss,Fileserver='ncnap01a.nc.intel.com' && Disk='vol2',,,lthiry,1024000,1000.0,1024000,0.977,,,0,,Active,,false,,4,true,NETAPP,750,777451,759.229,0.741,false,lthiry,0.759,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,43337,
false,true,,gen_adm_ecgo,ibw.6839,gen_adm_ecgo,false,1,cmsbak002.isw.intel.com,,0,ncsbak001-MSDP,,4,IT,false,,,false,nc,,01/30/2012,01/30/2012 08:43:18,,false,N/A,0,,Active,,21,vol0,aggr0,false,,,0,,,,-sec=sys rw=@nc_admin:@nc_prod_all root=@nc_admin,,Unix,yhadar,ncnap01b.nc.intel.com,,,,07/07/2014 17:57:57,,false,false,false,false,false,,,07/07/2014 19:39:13,,07/07/2014 17:57:57,0,,,,Unlimited,Unlimited,,,0,,,,0,/nfs/nc/disks/gen_adm_ecgo,false,false,false,0,,1.0,yhadar,10720674,/nfs/nc/disks/gen_adm_ecgo,,yhadar:read write execute ecgo_cw:read write execute all:none ,,,EC,,,false,none,,01/30/2012,01/30/2012 08:42:58,500,amalka2x,,/nfs/site/gen/adm/disk_metrics/nfs-scan/data/nc/ncnap01b.nc.intel.com/vol0_gen_adm_ecgo.gz,Tue Jun  5 22:13:21 2012,yhadar,500,0.488,500,0.0,,,0,,Active,,false,,4,true,NETAPP,770,0,0.0,0.0,false,yhadar,0.0,,false,0.004,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1,
false,true,,itools,ibw.5508,itools,false,1,cmsbak002.isw.intel.com,,0,ncsbak001-MSDP,Backup_Local,4,IT,false,,,false,nc,,06/03/2011,06/03/2011 16:06:44,,false,N/A,0,,Active,,21,vol0,aggr0,false,,,0,,,,-sec=sys rw=@nc_admin:@nc_prod_all root=@nc_admin,,Unix,,ncnap01b.nc.intel.com,,,,07/07/2014 17:58:51,,false,false,false,false,false,,,07/07/2014 19:39:13,,07/07/2014 17:58:51,167570,,,,Unlimited,Unlimited,,,0,,,,0,/nfs/nc/dsm_mount_check /nfs/nc/.itools /nfs/nc/itools,false,false,false,0,,1509397.364,usrintel,10664209,/nfs/nc/itools,,usrintel:read write execute 2:read execute all:read execute ,,,EC,,,false,none,,06/03/2011,06/03/2011 16:06:27,307200,root,FileServer=='ncnap01b.nc.intel.com'&&Disk=='vol0',,,usrintel,307200,300.0,307200,0.293,,,0,,Active,,false,,4,true,NETAPP,755,167570,163.643,0.16,false,usrintel,0.545,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,3589869,
false,true,,nc-gen-adm-ec_global,ibw.8527,nc-gen-adm-ec_global,false,1,cmsbak002.isw.intel.com,,0,ncsbak001-MSDP,,4,IT,false,,,false,nc,,11/15/2012,11/15/2012 08:31:37,,false,N/A,0,,Active,,21,vol0,aggr0,false,,,0, sticky,,,-sec=sys rw=@nc_admin:@nc_prod_all root=@nc_admin,,Unix,,ncnap01a.nc.intel.com,,,,07/07/2014 18:05:53,,false,false,false,false,false,,,07/07/2014 19:13:52,,07/07/2014 18:05:53,1287,,,,Unlimited,Unlimited,,,0,,,,0,/nfs/nc/disks/ec_global,false,false,false,0,,1.0,aloss,10668401,/nfs/nc/disks/ec_global,,root:read write execute 42001:read write execute all:read execute  sticky,,,EC,,,false,none,,11/15/2012,11/15/2012 08:31:23,2048,root,Fileserver='ncnap01a.nc.intel.com' && Disk='vol0',,,aloss,2048,2.0,2048,0.002,,,0,,Active,,false,,4,true,NETAPP,2775,1287,1.257,0.001,false,aloss,0.628,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,7692,
false,true,,nc-home_disk01,ibw.5660,nc-home_disk01,false,1,cmsbak002.isw.intel.com,,0,ncsbak001-MSDP,Backup_Duplication,4,IT,false,,,true,nc,,07/10/2011,07/10/2011 23:08:48,,false,N/A,5120,,Active,,21,vol0,aggr0,false,,,0,,,,-sec=sys rw=@nc_admin:@nc_prod_all:172.28.195.0/24:10.103.160.0/24 root=@nc_admin,,Unix,hanpengt bng9 mustafa dpjohns1 ygibaly laclotia suihaich huangl akoski1 avallaur cng38x embaye fgauvinx wtoo aferna5 gsmurugi aklouzx jraman1 jktaylor zyigal diaoyong htan39 phearith reghurax tguo6x ibinyami oocampo1 cbiancon jdavyx komar2 adriendx * nnnguye1 predkar taolvx rbrody cli47 svenkat2 nshuster jsoumx sskekare siewgohl bvelikan ebracq nhe ssabatie iszuca junxiaoc djmarsha mcarriex cdalger jrocher fcordobx nzitron jliu225 walkerrs nabdull7 fliu39 wchilins nketinen abezrodx rhinton cheow wquek tmorrow spda cheryink rfpotrax mmirkin 5343 hzhang65 sfusilie reinig ychen89 emarchan sdesfarx kyusangc mperesse sbatllor mogal mmudiger varunksh jhe35 dmyara renweihu chenwanx alinalev svankas mli51 magnuson ynahmany root changlex huayingr eeroesle mbisellx rakeshbh liulis sivakuma anuragha jniemela dclark2 bjreed dongke sunpyoho katrinma doriseem jrangel jdlugole ykang10 mszczach damathai yli157 zhibosun loushun snatara caron kinzelba dyang23 kkontola peiseelx xchen79 dleahy1 xchen78 jjakonen nbmonitor gukamelo jtrivel grp_umsesupport ghe8 mmaugerx omark mespinoz mmayeh steved pcelliot azouaoui vieffwq 11406883 brhovis lileix bartel omakinde dbradle1 isokolov asip pkulkarx wadee mclandiv vijaypra xzheng10 gaziello cangstad wprdtest zimmerer sabasset xinyuyan laycheng jtharmal louwei dmrosier hrosmani pfmahone gooishin abaner2 wharris xuzhiw kgoh3 gtramos nchauve pjtalath dmohapat hyu34 schillek drosales iramirez srosenth watao kasarkez dpaliy tlcarr wagnerri ngengx wanpingx msmasran chaiyi phg pkkanuko sukanyan alewicki lopez viefts tohshita mmipadmn blamarqx rvenka3 mlevi dselvana kczapla snistala vieftool gzhang20 pteo tyu2 dmalbrax lparrago changlix sdiatte mfarooq mhoffma1 ecam_usr eponscol jnmeyer elee6 pszymans ashah tzaninov bswales lizhongm rnaseer sorin btappleq odeprez soneil3 tvaknin jfcamach miltonlx agyapals sangkyun ralley jcarvaja htadikon glmcgee dtrawins zzhang35 juliendu smithcra jpa kjammula ecalo mcornut vijayksx tuanado ianchang bquerbac cgopalai sbiradax jhirby pmossah dkennerx ychen13 mkbaskar ccdoint wmchardy speraba pcuser kjgamach alenero szhou18 cvo ajinx harapanh mjmcgurl thuang10 nroux1 nitzanin dphang czhai1 athoma11 yshabi durin ssaladi rpeled hma14 mlmatthe asunesar jqin4 vvfrolov asinha6 shlomoa boonsian pratikdp nchaplot jjdesai omulla rn4 erverast sumangal dpon bwerst1 patinira quwen xzeng kennethn bnirenbe absapra xiaoweix hnguye6 gjthomps piotrres ctvu jaisabra jcvenega cxi schan15 rsbaker tmnguye3 ikantoro rlcarls1 vidhyabh fyougbax carbonne jfaguile smpruett sys_nb wzahnerc fjin2 jabuteir hongfux coutures vsujathx pcrahesx svayuveg jacascan miyengar huangjoe wuzhe sdischam zhanxi rodaro abchen1 ksafford wangw3 crsolano pato jiangzhx famand cpark3 jliu98 bscherka lleuvrey gwsmith shaezebr dbindl bzbit lmontero harshava smarell1 uselmxfr fsanche1 dto2 jpetsing dpotapov isajwani sagummad miguelaa ejkitows sooi14 stevefon dzhan35 arozen2x jregaira lvfengji bjduenas klanning cbabji kailianx ryan9 calimaye knataraj lr1 lamata tkebbacx pteh4 sgong2 melassa arvindka fgoeusse nhpeirc tikyong fturgis yufuzhen ecscan lide ssankura wchuang kchin daarmstr ggravund ktadikam blung zwang88 mgopal pmenauge agoldis cpoignet fwang41 wgetka jhermann cbaudele mnbayaa plavin1 tsedlar ewiener jmblacke sys_umgautom gchai1 msanabr1 yanjia mldhada abalacha schuan10 skolchur edesmara ddixon1 sasanch3 rchaturv krb_mon2 sghramx krb_mon1 qiangwa1 mkkuusel emahe yhuang53 ybaranov ptardy obazhani ncduong makhader dlinn czou jbachot nsolanoh aabdulmu ryair yssisodi tschultz abarton smatalon avteresc ecrestore viefifw yunwenji gajohnso mssane alamine cfong8 smokepng hkedarna rjammala seowjiet tnsondag mlifshit sys_dswci mjquinn catalinp rsoum kvjx buildbot fauger eiherrer vgarg ygnanasa laurafue dmarkhas sstatler cizoardx lsurabat ochenx vupadhya tanand tsairial smasri mfonse2 joergent rscales cling3 dsanka goz amoussea pkangolk hschechv phack gnavarr1 dacamach nchalhou siriholl asthirun avabhyan sofiapd knrahman nnataraj ovgumeny dlee cletessx lshi12 asuhai1x jzhang2 qufuyang pdivoux1 wagnerm dkrueger nroychow sbenyoux lsaw3 mysx tyan6 azayet tzhu11 pvashist cfiat xmda hkansara sbmale wriggs sghorai xingyuax sebai kumarran hduan2 atoubeau cvchandr rromogon herry rmittalx suvadeep drhalick vanovers kshade kimtingt mosalas keng1 rahmad jthomas2 drnorris rjparker richaagg lvaatamx remiclex vfeusebi lsivaram memmer niej schea12 fandriex baixin ktan13 sys_bbstage cho11 nkuma10 suryanax mluo9 dborton isoffair smlang weloo vtzipori raymondk wyuan roumegue gksocba zhaowenf rdsaffor onmunoz panfili anuragda msalazar nsuet binchen1 afkhawaj ronhandl pweinger yjapheth eseibel skappaix zacharis jchen104 exitauto choonshi wlaw4 adube eelgrabx rsuryadx ffleter lip1 uwah fgriggio sieglemi jbattist wcherifi zqin3 bkserafi jramire4 treddy gpudi npshetty abbyscha aloss ravet vief3att wpun sraul gncooper abardavi viefvlsi bhuan13 enp gaohui jiechen gtoll ywaisbla ttzeelon kwszolek rlimaye tlkirkha jbvenabl vakusuga agorianx tjkriner gtabajah kmichae1 tvien nomanmoh gnchinya szexingn jcheng76 cperiset yloh7 sunhua jevallet andreett ajchrist immansoo ggraff vdardelx sureshba cwsong arachama leefueng gsemet smaalem amedina1 viefcvar hichiu mbabubak dshatsky dksinha sggopala viefhwv vcle shroman dramonda jstu lnan blandau lpastorx shakeelx jparkkin seok agourio viefvfw ndifolco mgsaenzm sgourlay pourso mdmatula rjriedli guojin viefhwd xinruidu jyong2 goel dng2 omcalder btpmgr fzuox ariktopa sgdabras kho2 dsemelia penghou seethara mkushnir twitham cchen138 dcnadell bhoffma2 qxu11 panpanwx rskadam dengjiaj crao6 darora bbhusha1 mahon piergent vmahal1x ss14 jianshao phwang ktang7 snemov emarinca cbondier nichowdh pmpicard daviddic vrayapp smsathya ccowan rpshah jchaixx bpillaix wlim11 ssinclai cheyapin ajaswant wanyao yuqingnx ctice muelrain aorios amoreel sluboszc dedarnel vbesancx yeng tbriggsx jhong4 ddesurmo anadler1 bsutanto pbluniex travenex smiotk clittle vloke dliebson sowmyar1 rsselby gsantosv schadtlo disco amalka2x aperl dglim xli119 abinazmi amurashk rivantix eechiety fjnoraz fmarott sngutta glgeanno rskencha mkhoo2 dtpham vdhankha obenor rkraiemx lagomeza fpeix1 fortas mmielck vnakul frda jbates1 mmalisx razzix rviswana slorinox xli127 ak7 basamuel chu13 ckoek ullmannw tgourdix jneoh1 takerman maconley gnaor sverma3 ravindra glussier viefcvs kluk ddelavea ccharrix snparwax ncmistry viefcvp djosephs aalex1 akkoppar viefcvr rprotat nmuktar dmoneil2 yfu2 esmarkow rvivekan rqaseem daiqianh kehuggin lthiry dohyunki abid ksapozhn lurena dingzhi rowagner ialberdi lixiaof amahade1 hgkamat rlkirsch luoeddie ramamoor taverna taohongx sadapalx qzhu5 ziemannm jmdeinle hshaikh koksengl ttoivone abyunus gwalicze lakuex youngjoo ktan28 jcastro ylim22 lpteh dvillane mcg jpantalx dseitzer ctandon1 jsuarez snagunur tlee15 ywu74 ranganat nsmathew liyiming zhenhaox indeokhx skesturv hkhattri viefird maoch yujiefan caheike1 abalmell mvchacon ychai2 ankitsh1 cohenida uselmdb gdmallar sadm rjin2 rsack jmoosman akblack1 lpeltone cgermond maallyn jkeane1 aly marnin knlewis jammula llibis gkeskin tiennguy mburni lrinnx akhandek kbeck jrsabnis txdo rsklingl jzhuan5 acschmit sahutchi bho1 pchandr1 charlesb sungchux bsateesh lchen4 jphang snkalval cmielenz cmccmon dhalperi rtramaku kbpatil flee1 hzhan33 bbensale pmoosx yanivmen ukanwar fengfenx avichaym haozhao msecval ztbunni czhuo humingmi chanmich bkveera daniel btgoods fjahan birruh adasgupt wangma1 plinarex sgaddam1 cwang16x vdadwal jvaquero dprende1 piniguez liyuzhao pnaoumex gdelaroc mnodarco brundle svdeshab nischald dharidas yewkeanw malamill cchavezc mameerax ybulygin pricedav gcrays svdasaka htricotx jkatz swapnapu keong ksisoura ayager aafranco gpasumam qifengx sdmeyers pragyasi oshai sanand jhstockm gcourtev rwrice disrael amerour lsmien rpartha 11367097 mavilla3 liujian1 kdonepud sergeif gbartosx rbenezra dczupryn mmcdonal xdang sgriffou lli113 vpandran lli111 nrapaka cbendele jacloud randjicd ogaggell jpierce ssnair3 ksun16 lirvan jdwanek1 pgualti shaofeix anaraya2 sndhoot jjgamage izeevix bucksteg hwtiema bjgran lab_ldepb pdixit1 huiyingn qguo10 vadossi ashagio ppatale asriniva nchampci hhan11 skgangad ytsageln jsmogri rquinzio abshah pitterle yavni nandagop sjpoehlm farzanak smakkada amichaia jlarue rdubey makuznet standon1 xietao shaohai malisch amaczuga mredlars yhu36 narhards mtullima jgaleax aodetall aberko abazhyna jainr myazdi gmarsh abaozhen kmorales huangxia rauhjoha dlang rrmanne ivanfoxx mecibah alemberg kadiredd yeeoceag sssumanx jselam sys_scan omonnier cyeeyong cvamour dwrussex egv_c65 kyang48 zluo2 clforn yzhang1 mdubutx gcjenkin tkolat huizhenx jadarnes tlfrane dliang1 sbtmohdz syen7 mberrada jwan150 bhoux meili2 sdtran clim73 vmprabhu weijernt schaudh1 fnfares viefssw hgan2 sys_ecglobalrestore atulchop mengwahs beckmanc dkakoun nlsapp ownettle ewallace kadjriou kganesh jgarred bllock fballin kpnguye2 socfebe sniciarz wwu12 agupt27 spedel scolleux lsu4 lacombe oniv lpitchai yhadar hmoralar nieuwenh xyuan14 jhannouc acbrown2 sfredetx dmordech chabert largumed obouzayx chenguo sonkalo lanand jctorres 33 phycap ariveraj mbiggio tdelkoha sofiai ychu1 hongzh2x shenxiao songxiao leonidt kaplane yliu149 jlubkin sjrobins stevedoa psvoulto jpdefuri jiayingy gauberti bamelche anchakra dchen truhman jdkarpin fgong3 kkmishrx shettyab frezek cjacquex severine hsalman dahiggin dchee mblassin ekarl viefifw3 yeanterx vgovind2 rboyapat mgroener vdelordx jbortolo stayeb jperezzu rgtenori solsen asaifhas csabodas hseshagi cmalley gdcochra dstozaki ukankana mckelved 10056848 rshalev xmeng5 lsingh ekalugin rmshah fhanchek slhuang rjdurant manger dchen101 liguoq ccaillau jtan19 tfrantti liwei2 lgao16 blsmalle jccamach melinte rbfawkes manojkum esd_cr nselimov jymarc pymestra mviquezr yuanyao1 11303021 ecilabnodes endille carrere hsullan xdelas mkpachha nmamidix benlamin yfanx cbransix weikun msivarax mickaelm lfoo1 skamath4 ysaw1 mjruizol dbmadiga dskrishn yubingwx hng13 jgbayles ralexand rgsreeni sdorland vvarlet azeribix rcrippa lkurtz virajvde ssbagalk berwin yzhang79 ahhyungw srgangir kelvinkx syscacts 10635299 gpainx xlin4 aaydiner bjkapadi aarayac1 mbinti8x epedael bchu1 schmitma mglefevr tuanaly nanxiong jiazhenx jbelloua ytee deshpanm vcyadav dtbecher aoforest pdiwakar sdninawe tguyonnx ecbaradm jtao7 comeoliv vbs1 klee11 lohaio1 lang1 nhbintim bstackho abouzafx kguntaka rjayabha junzhoux ocarpent mweiss pptang sofiaa sys_jenkinsndg slakshm1 rdower lwang113 kgahmed1 nnimmaga huweili jgarcia bliu65 sys_codeine ysoussan ylanger srattan okesten istrahov afkaplan qshan bdgrell pariasca itedisco cchotard shanawar npetit aledentx aastillx nmanthen mtammi alopezve gmudrets ggrougna popaadrx viefpp fjoly jkatraga hengma cbarretx jeffw mkang jaltamir plkummro zhenzhax jhabdelq zhalei fchongkh ppant ddiaox xiangjun decescoj hewe rlaudeba yencathe zhexianl csucur rdutta akanupar dljobusc jshanmug 11390810 pkhanal rkasim asaksena dmedvede lmaciasm srivats1 hmpatel usrintel linchenx majingqi efetzer rhamler danyb ejstaple danyf aderoche rrthirux wchen34 kchandr1 jlim18 gquinn karandee rnudelma taejoong adsali cleue pvgaonka cguerard kprabaka sheno tdyshkan ostoltzd willtodd viefeng pcombes hchong skulka3x yxia6 micaelgx mkmellor rhuang9 byungchu gmena sprakasx kdsingh litongyi jcraib signer shanshiy eahmed slattann aancora viefda hellouzx hnan1 williage juancgox scrichma weizha2x mchiottx bchung tmurata cbostak hzhan72 vn1 fengguo viefcs kkoay2 fabiench mwhitne1 kmills yeelingl vbbhogad ravipal cooi36 kveerara mcheboli akuma37 fan3 ftrebosx kdydakx adklimki awbrowni joleary rlposey ytan27 aniljose psyap byungmin chenzhi mstalala vogginge tshachar sng23 khtran abenabdx btan44x mrbecket mwang102 sr10 huanchex edherrin hyick ktphan akrish8 liuwe lpnava hwang3 tcda patelhim hkhor1 ndavida ffdrobis vapadgao ptkreutz zhiweiyx gomezant jokaarti sho6 paganop dapinglx hteex gabriely bruelsni pbeeraka ssadiq qiujin swgittin ploh8 llbiro skmathuk nkrish4 danielja otapiaro smillman viefhl stasson mcornu sshridha jkozarow wwchang jwitte jgozalvx ottows oespinoz gsingh fdespall mobaykan wangandr jrjones jepeach aupadhy1 vhaapala abouyer hongfuru imlanker,ncnap01b.nc.intel.com,,,,07/07/2014 18:04:14,,false,false,false,false,false,,,07/07/2014 19:39:13,,07/07/2014 18:04:14,133280,,,,Unlimited,Unlimited,,,0,,,,0,/nfs/nc/home,false,false,false,0,,273303.781,lthiry,10638180,/nfs/nc/home,,root:read write execute root:read execute all:read execute ,,,EC,,,false,none,,07/10/2011,07/10/2011 23:08:48,512000,lthiry,,,,lthiry,512000,500.0,512000,0.488,,,0,,Active,,false,,4,true,NETAPP,755,133280,130.156,0.127,true,lthiry,0.26,,true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2472191,
true,true,,nc-umg-disk001,ibw.5642,nc-umg-disk001,false,1,cmsbak002.isw.intel.com,,0,ncsbak001-MSDP,Backup_Duplication,4,UMG,false,,,false,nc,,07/08/2011,07/08/2011 14:32:08,,false,N/A,0,,Active,,21,vol0,aggr0,false,,,0, sticky,,,-sec=sys rw=@nc_admin:@nc_prod_all:172.28.195.0/24 root=@nc_admin:172.28.195.0/24,,Unix,cgermond,ncnap01a.nc.intel.com,,,,07/07/2014 17:58:12,,false,false,false,false,false,,,07/07/2014 19:13:52,,07/07/2014 17:58:12,1115766,,,,Unlimited,2048000,,,0,,,,0,/nfs/nc/disks/nc-umg-disk001,false,true,false,0,,10373.117,npetit,11300360,/nfs/nc/disks/nc-umg-disk001,,nchampci:read write execute nc_psi:read write execute all:none  sticky,,,medfield,,,false,none,,07/08/2011,07/08/2011 14:31:44,1331200,root,Fileserver=='ncnap01a.nc.intel.com' && Disk=='vol0',/nfs/site/gen/adm/disk_metrics/nfs-scan/data/nc/ncnap01a.nc.intel.com/vol0_nc-umg-disk001.gz,Fri Jul  8 21:10:14 2011,npetit,1331200,1300.0,1331200,1.27,,,0,,Active,,false,,4,true,NETAPP,2770,1115766,1089.615,1.064,false,npetit,0.838,,false,0.004,0.0,0.0,0.0,0.0,0.0,0.0,,,,,14825181,
false,true,,nc-umg_disk002,ibw.8477,nc-umg_disk002,false,1,cmsbak002.isw.intel.com,,0,ncsbak001-MSDP,,4,UMG,false,,,false,nc,,11/02/2012,11/02/2012 17:45:20,,false,N/A,0,,Active,,21,vol1,aggr0,false,,,0, sticky,,,-sec=sys rw=@nc_admin:@nc_prod_all root=@nc_admin,,Unix,,ncnap01a.nc.intel.com,,,,07/07/2014 17:59:30,,false,false,false,false,false,,,07/07/2014 19:19:20,,07/07/2014 17:59:30,0,,,,Unlimited,2048000,,,0,,,,0,/nfs/nc/disks/nc-umg-disk002,false,false,false,0,,1.0,lthiry,10638180,/nfs/nc/disks/nc-umg-disk002,,5844:read write execute nc_psi:read write execute all:none  sticky,,,medfield,,,false,none,,11/02/2012,11/02/2012 17:45:08,1024000,root,,,,lthiry,1024000,1000.0,1024000,0.977,,,0,,Active,,false,,4,true,NETAPP,2770,0,0.0,0.0,false,lthiry,0.0,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2,
false,true,,nc-umg_jellybean,ibw.8476,nc-umg_jellybean,false,1,cmsbak002.isw.intel.com,,0,ncsbak001-MSDP,,4,UMG,false,,,false,nc,,11/02/2012,11/02/2012 17:44:17,,false,N/A,0,,Active,,21,vol0,aggr0,false,,,0, sticky,,,-sec=sys rw=@nc_admin:@nc_prod_all:172.28.195.0/24 root=@nc_admin:172.28.195.0/24,,Unix,,ncnap01a.nc.intel.com,,,,07/07/2014 17:57:29,,false,false,false,false,false,,,07/07/2014 19:13:52,,07/07/2014 17:57:29,0,,,,Unlimited,2048000,,,0,,,,0,/nfs/nc/proj/jellybean,false,false,false,0,,1.0,lthiry,10638180,/nfs/nc/proj/jellybean,,5844:read write execute nc_psi:read write execute all:none  sticky,,,medfield,,,false,none,,11/02/2012,11/02/2012 17:44:04,1024,root,,,,lthiry,1024,1.0,1024,0.001,,,0,,Active,,false,,4,true,NETAPP,2770,0,0.0,0.0,false,lthiry,0.0,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,6,
false,true,,nc-umg_medfield,ibw.5663,nc-umg_medfield,false,1,cmsbak002.isw.intel.com,,0,ncsbak001-MSDP,Backup_Duplication,4,UMG,false,,,false,nc,,07/13/2011,07/13/2011 12:02:30,,false,N/A,0,,Active,,21,vol1,aggr0,false,,,0, sticky,,,-sec=sys rw=@nc_admin:@nc_prod_all:172.28.195.0/24:172.28.193.0/25:10.237.164.0/23 root=@nc_admin:172.28.195.0/24:172.28.193.0/25:10.237.164.0/23,,Unix,cgermond lthiry,ncnap01a.nc.intel.com,,,,07/07/2014 18:02:52,,false,false,false,false,false,,,07/07/2014 19:19:20,,07/07/2014 18:02:52,0,,,,Unlimited,2048000,,,0,,,,0,/nfs/nc/proj/mfld,false,false,false,0,,1350.977,npetit,11300360,/nfs/nc/proj/mfld,,cgermond:read write execute nc_psi:read write execute all:none  sticky,,,medfield,,,false,none,,07/13/2011,07/13/2011 12:02:11,1024,root,Fileserver=='ncnap01a.nc.intel.com' && Disk=='vol1',/nfs/site/gen/adm/disk_metrics/nfs-scan/data/nc/ncnap01a.nc.intel.com/vol1_nc-umg_medfield.gz,Tue Jun  5 21:12:39 2012,npetit,1024,1.0,1024,0.001,,,0,,Active,,false,,4,true,NETAPP,2770,0,0.0,0.0,false,npetit,0.0,,false,0.004,0.0,0.0,0.0,0.0,0.0,0.0,,,,,7,
false,true,,nc-umg_repo_disk001,ibw.8363,nc-umg_repo_disk001,false,1,cmsbak002.isw.intel.com,,0,ncsbak001-MSDP,,4,UMG,false,,,false,nc,,10/05/2012,10/05/2012 11:26:51,,false,N/A,0,,Active,,21,vol1,aggr0,false,,,0, sticky,,,-sec=sys rw=@nc_admin:ncsgit001.nc.intel.com:172.28.195.0/24:172.28.193.0/25:10.237.164.0/23 root=@nc_admin:ncsgit001.nc.intel.com:172.28.195.0/24:172.28.193.0/25:10.237.164.0/23,,Unix,,ncnap01a.nc.intel.com,,,,07/07/2014 17:57:17,,false,false,false,false,false,,,07/07/2014 19:19:20,,07/07/2014 17:57:17,48195,,,,Unlimited,2048000,,,0,,,,0,/nfs/nc/disks/repo,false,false,false,0,,1.0,rdower,11254906,/nfs/nc/disks/repo,,1001:read write execute 1001:read write execute all:none  sticky,,,medfield,,,false,none,,10/05/2012,10/05/2012 11:26:38,307200,root,fileserver=='ncnap01a.nc.intel.com' && disk=='vol1',,,rdower,307200,300.0,307200,0.293,,,0,,Active,,false,,4,true,NETAPP,2770,48195,47.065,0.046,false,rdower,0.157,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,423298,
