ActiveNoBackup,AppearsInAutoDetection,Archive,Area,AreaID,AreaName,AutoDetected,BaR_MPX,BaR_Master,BaR_NFS_Client,BaR_Priority,BaR_STU,BaR_Special,BaR_Tier,BusinessGroup,CIFS,CachePermissions,CachedCells,CanSetUserQuota,Cell,CmodeAreaName,Created,CreatedTimeFull,DNSName,DataDeletionApproved,DaysUntilDeletion,DefaultUserQuota,Description,DetailedStatus,DisabledNotification,DisabledPeriod,Disk,DiskPool,DoNotTouch,DoNotTouchDate,Duration,DurationPendingApproval,ExpandedPermissions,ExpirationDate,ExpirationTimeFull,Exports,FSGroups,FSType,FSUsers,FileServer,GlobalPathPrefix,Grace,GracePeriod,InfoCollectionTime,Intelproject,IsCache,IsDummy,IsOnLEHN,IsTargetOfMigration,Kerberos,LIF,LastAccessed,LastAutoDetectedTime,LastModified,LastNotEmptyTime,LastNotEmptyUsage,LocalFullPath,LocalPathPrefix,MasterCopy,MaxDuration,MaxSize,MetaLunId,MetaLunName,MetaLunSize,MigrationTargetAreaID,Mirrors,MonitoringContacts,MonitoringThreshold,Mounts,NeedArchiving,NoBackup,NoShrink,NotAutoDetectedAttempts,Notification,OpsPerDay,Owner,OwnerWWIDs,Path,PendingPermissionsRequests,Permissions,PhysicalDeletionTime,Policies,Project,QSlot,RaidType,ReadOnly,ReplicationState,Replicators,RequestDate,RequestTimeFull,RequestedSize,Requester,Requirements,ScanDetail,ScanTime,SecondaryOwners,Size,SizeGB,SizePendingApproval,SizeTB,SnapshotPolicy,SnapshotSchedules,SpecialMonitoring,StateChangedTime,Status,StodFSPermissions,Stod_Type,StorageGroup,Tier,TopUsersMonitoring,Type,Unix_Mode,Usage,UsageGB,UsageTB,UserQuotaOn,Users,Utilization,WaitReason,WasInternalized,age0,age180,age30,age360,age540,age720,age90,autosize,autosize_increment,data_category,max_autosize,numfiles,sharedpool
false,true,,TM-IT_gen_adm_lde,ibw.6720,TM-IT_gen_adm_lde,false,1,cmsbak002.isw.intel.com,,0,tmsbak001-MSDP,Backup_Local,5,IT,false,,,false,tm,,12/22/2011,12/22/2011 16:45:57,,false,N/A,0,,Active,,21,vol0,aggr0,false,,,0,,,,-sec=sys rw=@tm_admin:@tm_prod_all root=@tm_admin,,Unix,root,tmnap01a.tm.intel.com,,,,07/07/2014 18:04:50,,false,false,false,false,false,,,07/07/2014 19:33:06,,07/07/2014 18:04:50,150870,,,,Unlimited,Unlimited,,,0,,,,0,/nfs/tm/gen/platforms/lde /nfs/tm/disks/ec_gen_adm_lde,false,false,false,0,,200528.142,apellikx,11421266 #,/nfs/tm/disks/ec_gen_adm_lde,,root:read write execute root:read execute all:read execute ,,,EC,,,false,none,,12/22/2011,12/22/2011 16:45:39,153600,root,fileserver=='tmnap01a.tm.intel.com' && Disk=='vol0',/nfs/site/gen/adm/disk_metrics/nfs-scan/data/tm/tmnap01a.tm.intel.com/vol0_TM-IT_gen_adm_lde.gz,Tue Jun  5 22:11:13 2012,apellikX apellikx,153600,150.0,153600,0.146,,,0,,Active,,false,,4,true,NETAPP,755,150870,147.334,0.144,false,apellikX apellikx,0.982,,false,0.004,0.0,0.0,0.0,0.0,0.0,0.0,,,,,207080,
false,true,,TM-MCG_sys_eng_disk001,ibw.8650,TM-MCG_sys_eng_disk001,false,1,cmsbak002.isw.intel.com,,0,tmsbak001-MSDP,,5,UMG,false,,,false,tm,,12/12/2012,12/12/2012 14:55:44,,false,N/A,0,,Active,,21,vol1,aggr0,false,,,0, sticky,,,-sec=sys rw=@tm_admin:@tm_prod_all root=@tm_admin,,Unix,,tmnap01b.tm.intel.com,,,,07/07/2014 19:35:54,,false,false,false,false,false,,,07/07/2014 19:08:48,,07/07/2014 19:35:54,16158,,,,Unlimited,2048000,,,0,,,,0,/nfs/tm/disks/sys_eng_disk001,false,false,false,0,,60808.507,jluomaah,11378700,/nfs/tm/disks/sys_eng_disk001,,jluomaah:read write execute sys_eng:read write execute all:none  sticky,,,psi_sttp,,,false,none,,12/12/2012,12/12/2012 14:55:21,1024000,dleahy1,fileserver=='tmnap01b.tm.intel.com' && disk=='vol1',,,jluomaah,1024000,1000.0,1024000,0.977,,,0,,Active,,false,,4,true,NETAPP,2770,16158,15.779,0.015,false,jluomaah,0.016,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2846,
false,true,,TM-camera_algor_disk001,ibw.6688,TM-camera_algor_disk001,false,1,cmsbak002.isw.intel.com,,0,tmsbak001-MSDP,Backup_Duplication,5,UMG,false,,,false,tm,,12/13/2011,12/13/2011 17:15:51,,false,N/A,0,,Active,,21,vol0,aggr0,false,,,0, sticky,,,-sec=sys rw=@tm_admin:@tm_prod_all root=@tm_admin,,Unix,ekrestya kndabov ttheinon abazhyna llampine tgerasim ktaipale dennisla vsamurov jnikkane mtuppura sutriain sjarvine pkuronen wangmd nelyaman tfinnila,tmnap01b.tm.intel.com,,,,07/07/2014 17:59:57,,false,false,false,false,false,,,07/07/2014 19:01:12,,07/07/2014 17:59:57,1076763,,,,Unlimited,2048000,,,0,,,,0,/nfs/tm/disks/TM-camera_algor_disk001,false,false,false,0,,82376.959,jnikkane,11408102,/nfs/tm/disks/TM-camera_algor_disk001,,jnikkane:read write execute camaliq:read write execute all:none  sticky,,,clovertrail,,,false,none,,12/13/2011,12/13/2011 17:15:33,2048000,root,Fileserver=='tmnap01b.tm.intel.com' && Disk=='vol0',/nfs/site/gen/adm/disk_metrics/nfs-scan/data/tm/tmnap01b.tm.intel.com/vol0_TM-camera_algor_disk001.gz,Tue Jun  5 21:11:39 2012,jnikkane,2048000,2000.0,2048000,1.953,,,0,,Active,,false,,4,true,NETAPP,2770,1076763,1051.526,1.027,false,jnikkane,0.526,,false,192460.59,0.332,181082.359,0.0,0.0,0.0,146670.773,,,,,349947,
false,true,,TM-camera_algor_disk002,ibw.9464,TM-camera_algor_disk002,false,1,cmsbak002.isw.intel.com,,0,tmsbak001-MSDP,,5,UMG,false,,,false,tm,,03/05/2013,03/05/2013 13:49:03,,false,N/A,0,,Active,,21,vol3,aggr0,false,,,0, sticky,,,-sec=sys rw=@tm_admin:@tm_prod_all root=@tm_admin,,Unix,,tmnap01b.tm.intel.com,,,,07/07/2014 18:03:24,,false,false,false,false,false,,,07/07/2014 19:50:03,,07/07/2014 18:03:24,812054,,,,Unlimited,2048000,,,0,,,,0,/nfs/tm/disks/TM-camera_algor_disk002,false,false,false,0,,693733.085,jnikkane,11408102,/nfs/tm/disks/TM-camera_algor_disk002,,jnikkane:read write execute camalgor:read write execute all:none  sticky,,,clovertrail,,,false,none,,03/05/2013,03/05/2013 13:48:36,1024000,aloss,Fileserver='tmnap01b.tm.intel.com' && Disk='vol3',,,jnikkane,1024000,1000.0,1024000,0.977,,,0,,Active,,false,,4,true,NETAPP,2770,812054,793.021,0.774,false,jnikkane,0.793,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,201417,
false,true,,TM-clovertrail,ibw.6695,TM-clovertrail,false,1,cmsbak002.isw.intel.com,,0,tmsbak001-MSDP,Backup_Duplication,5,UMG,false,,,false,tm,,12/15/2011,12/15/2011 15:51:53,,false,N/A,0,,Active,,21,vol0,aggr0,false,,,0, sticky,,,-sec=sys rw=@tm_admin:@tm_prod_all root=@tm_admin,,Unix,skaajas1,tmnap01a.tm.intel.com,,,,07/07/2014 18:04:47,,false,false,false,false,false,,,07/07/2014 19:33:06,,07/07/2014 18:04:47,0,,,,Unlimited,2048000,,,0,,,,0,/nfs/tm/proj/clovertrail,false,false,false,0,,1.0,skaajas1,11376722,/nfs/tm/proj/clovertrail,,skaajas1:read write execute prodsw:read write execute all:none  sticky,,,clovertrail,,,false,none,,12/15/2011,12/15/2011 15:51:34,50,root,Fileserver=='tmnap01a.tm.intel.com' && Disk=='vol0',/nfs/site/gen/adm/disk_metrics/nfs-scan/data/tm/tmnap01a.tm.intel.com/vol0_TM-clovertrail.gz,Tue Jun  5 21:23:43 2012,skaajas1,50,0.049,50,0.0,,,0,,Active,,false,,4,true,NETAPP,2770,0,0.0,0.0,false,skaajas1,0.0,,false,0.004,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1,
false,true,,TM-csdebug_disk001,ibw.6687,TM-csdebug_disk001,false,1,cmsbak002.isw.intel.com,,0,tmsbak001-MSDP,Backup_Duplication,5,UMG,false,,,false,tm,,12/13/2011,12/13/2011 17:02:40,,false,N/A,0,,Active,,21,vol3,aggr0,false,,,0, sticky,,,-sec=sys rw=@tm_admin:@tm_prod_all:10.237.54.0/23:10.237.53.0/24 root=@tm_admin,,Unix,jukkonen jmath3 tfrantti jkotka pahonen,tmnap01a.tm.intel.com,,,,07/07/2014 18:06:53,,false,false,false,false,false,,,07/07/2014 19:41:48,,07/07/2014 18:06:53,14363,,,,Unlimited,2048000,,,0,,,,0,/nfs/tm/disks/TM-csdebug_disk001,false,false,false,0,,408.0,jkotka,11376718,/nfs/tm/disks/TM-csdebug_disk001,,jkotka:read write execute csd:read write execute all:none  sticky,,,clovertrail,,,false,none,,12/13/2011,12/13/2011 17:02:18,102400,root,Fileserver=='tmnap01a.tm.intel.com' && Disk=='vol3',/nfs/site/gen/adm/disk_metrics/nfs-scan/data/tm/tmnap01a.tm.intel.com/vol3_TM-csdebug_disk001.gz,Tue Jun  5 21:05:45 2012,jkotka,102400,100.0,102400,0.098,,,0,,Active,,false,,4,true,NETAPP,2770,14363,14.026,0.014,false,jkotka,0.14,,false,579.246,0.0,297.496,0.0,0.0,0.0,292.941,,,,,2841,
false,true,,TM-eda_adm,ibw.8315,TM-eda_adm,false,1,cmsbak002.isw.intel.com,,0,tmsbak001-MSDP,,5,IT,false,,,false,tm,,09/21/2012,09/21/2012 13:19:53,,false,N/A,0,,Active,,21,vol0,aggr0,false,,,0,,,,-sec=sys rw=@tm_admin:@tm_prod_all root=@tm_admin,,Unix,,tmnap01a.tm.intel.com,,,,07/07/2014 18:02:42,,false,false,false,false,false,,,07/07/2014 19:33:06,,07/07/2014 18:02:42,0,,,,Unlimited,Unlimited,,,0,,,,0,/nfs/tm/eda/.adm /nfs/tm/eda/adm,false,false,false,0,,504.993,apellikx,11421266 #,/nfs/tm/eda/adm,,cadlib:read write execute 32663:read execute all:read execute ,,,EC,,,false,none,,09/21/2012,09/21/2012 13:19:32,100,root,fileserver=='tmnap01a.tm.intel.com' && disk=='vol0',,,apellikX apellikx,100,0.098,100,0.0,,,0,,Active,,false,,4,true,NETAPP,755,0,0.0,0.0,false,apellikX apellikx,0.0,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,11,
false,true,,TM-eda_data_com,ibw.8317,TM-eda_data_com,false,1,cmsbak002.isw.intel.com,,0,tmsbak001-MSDP,,5,IT,false,,,false,tm,,09/21/2012,09/21/2012 13:23:06,,false,N/A,0,,Active,,21,vol0,aggr0,false,,,0,,,,-sec=sys rw=@tm_admin:@tm_prod_all root=@tm_admin,,Unix,,tmnap01a.tm.intel.com,,,,07/07/2014 17:57:22,,false,false,false,false,false,,,07/07/2014 19:33:06,,07/07/2014 17:57:22,7186,,,,Unlimited,Unlimited,,,0,,,,0,/nfs/tm/eda/data/com0001 /nfs/tm/eda/.data/com0001,false,false,false,0,,27.0,apellikx,11421266 #,/nfs/tm/eda/data/com0001,,cadlib:read write execute 32663:read execute all:read execute ,,,EC,,,false,none,,09/21/2012,09/21/2012 13:22:40,204800,root,fileserver=='tmnap01a.tm.intel.com' && disk=='vol0',,,apellikX apellikx,204800,200.0,204800,0.195,,,0,,Active,,false,,4,true,NETAPP,755,7186,7.018,0.007,false,apellikX apellikx,0.035,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,70246,
false,true,,TM-eda_group,ibw.8313,TM-eda_group,false,1,cmsbak002.isw.intel.com,,0,tmsbak001-MSDP,,5,IT,false,,,false,tm,,09/21/2012,09/21/2012 13:17:30,,false,N/A,0,,Active,,21,vol0,aggr0,false,,,0,,,,-sec=sys rw=@tm_admin:@tm_prod_all root=@tm_admin,,Unix,,tmnap01a.tm.intel.com,,,,07/07/2014 18:04:28,,false,false,false,false,false,,,07/07/2014 19:33:06,,07/07/2014 18:04:28,0,,,,Unlimited,Unlimited,,,0,,,,0,/nfs/tm/eda/group /nfs/tm/eda/.group,false,false,false,0,,2.0,apellikx,11421266 #,/nfs/tm/eda/.group,,cadlib:read write execute 32663:read execute all:read execute ,,,EC,,,false,none,,09/21/2012,09/21/2012 13:17:08,200,root,fileserver=='tmnap01a.tm.intel.com' && disk=='vol0',,,apellikX apellikx,200,0.195,200,0.0,,,0,,Active,,false,,4,true,NETAPP,755,0,0.0,0.0,false,apellikX apellikx,0.0,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,10,
false,true,,TM-eda_license,ibw.8316,TM-eda_license,false,1,cmsbak002.isw.intel.com,,0,tmsbak001-MSDP,,5,IT,false,,,false,tm,,09/21/2012,09/21/2012 13:20:57,,false,N/A,0,,Active,,21,vol0,aggr0,false,,,0,,,,-sec=sys rw=@tm_admin:@tm_prod_all root=@tm_admin,,Unix,,tmnap01a.tm.intel.com,,,,07/07/2014 18:00:19,,false,false,false,false,false,,,07/07/2014 19:33:06,,07/07/2014 18:00:19,0,,,,Unlimited,Unlimited,,,0,,,,0,/nfs/tm/eda/license /nfs/tm/eda/.license,false,false,false,0,,22.0,cadlib,10549543,/nfs/tm/eda/license,,cadlib:read write execute 32663:read execute all:read execute ,,,EC,,,false,none,,09/21/2012,09/21/2012 13:20:39,100,root,fileserver=='tmnap01a.tm.intel.com' && disk=='vol0',,,cadlib,100,0.098,100,0.0,,,0,,Active,,false,,4,true,NETAPP,755,0,0.0,0.0,false,cadlib,0.0,,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,32,
