ActiveNoBackup,AppearsInAutoDetection,Archive,Area,AreaID,AreaName,AutoDetected,BaR_MPX,BaR_Master,BaR_NFS_Client,BaR_Priority,BaR_STU,BaR_Special,BaR_Tier,BusinessGroup,CIFS,CachePermissions,CachedCells,CanSetUserQuota,Cell,CmodeAreaName,Created,CreatedTimeFull,DNSName,DataDeletionApproved,DaysUntilDeletion,DefaultUserQuota,Description,DetailedStatus,DisabledNotification,DisabledPeriod,Disk,DiskPool,DoNotTouch,DoNotTouchDate,Duration,DurationPendingApproval,ExpandedPermissions,ExpirationDate,ExpirationTimeFull,Exports,FSGroups,FSType,FSUsers,FileServer,GlobalPathPrefix,Grace,GracePeriod,InfoCollectionTime,Intelproject,IsCache,IsDummy,IsOnLEHN,IsTargetOfMigration,Kerberos,LIF,LastAccessed,LastAutoDetectedTime,LastModified,LastNotEmptyTime,LastNotEmptyUsage,LocalFullPath,LocalPathPrefix,MasterCopy,MaxDuration,MaxSize,MetaLunId,MetaLunName,MetaLunSize,MigrationTargetAreaID,Mirrors,MonitoringContacts,MonitoringThreshold,Mounts,NeedArchiving,NoBackup,NoShrink,NotAutoDetectedAttempts,Notification,OpsPerDay,Owner,OwnerWWIDs,Path,PendingPermissionsRequests,Permissions,PhysicalDeletionTime,Policies,Project,QSlot,RaidType,ReadOnly,ReplicationState,Replicators,RequestDate,RequestTimeFull,RequestedSize,Requester,Requirements,ScanDetail,ScanTime,SecondaryOwners,Size,SizeGB,SizePendingApproval,SizeTB,SnapshotPolicy,SnapshotSchedules,SpecialMonitoring,StateChangedTime,Status,StodFSPermissions,Stod_Type,StorageGroup,Tier,TopUsersMonitoring,Type,Unix_Mode,Usage,UsageGB,UsageTB,UserQuotaOn,Users,Utilization,WaitReason,WasInternalized,age0,age180,age30,age360,age540,age720,age90,autosize,autosize_increment,data_category,max_autosize,numfiles,sharedpool
false,true,,ISW-ADSG_hip_disk001,ibw.8853,ISW-ADSG_hip_disk001,false,1,cmsbak002.isw.intel.com,,0,swsbak001-swspd001-PDDO,,1,HIP,false,,,false,isw,,01/08/2013,01/08/2013 16:35:37,,false,N/A,0,COE69 Poseyville RTL SD,Active,,21,vol6,aggr0,false,,,0, sticky,,,-sec=sys rw=@isw_prod_all:@isw_admin root=@isw_admin,,Unix,abadey 11420058 11420057 root sgoody jesaunde 11419928 adtalbot syncmgr 11374479 sjhobson npatel17 kmlyons,swnap01b.isw.intel.com,,,,07/07/2014 18:05:33,,false,false,false,false,false,,,07/07/2014 19:45:19,,07/07/2014 18:05:33,277173,,,,Unlimited,2560000,,,0,,,,0,/nfs/isw/disks/isw_hip_disk001,false,false,false,0,,1.0,sgoody,10986882,/nfs/isw/disks/isw_hip_disk001,,root:read write execute dk1269:read write execute all:none  sticky,,,coe69,,,false,none,,01/08/2013,01/08/2013 16:25:33,307200,mjphelps,((FileServer=='swnap01b.isw.intel.com') && (Disk=='vol6')),/nfs/site/gen/adm/disk_metrics/nfs-scan/data/isw/swnap01b.isw.intel.com/vol6_ISW-ADSG_hip_disk001.gz,Sun May 25 03:09:15 2014,sgoody,307200,300.0,0,0.293,,,0,,Active,,false,,2,true,NETAPP,2770,277173,270.677,0.264,false,sgoody,0.902,,false,277236.234,277172.148,277172.559,277172.082,0.0,0.0,277172.559,,,IP_RELEASE,,146330,
false,true,,ISW-DHG_demodsys_disk001,ibw.8908,ISW-DHG_demodsys_disk001,false,1,cmsbak002.isw.intel.com,,0,swsbak001-swspd001-PDDO,,1,PCCG,false,,,true,isw,,01/10/2013,01/10/2013 10:14:06,,false,N/A,Unlimited,,Active,,21,vol0,aggr0,false,,,0, sticky,,,-sec=sys rw=@isw_prod_all:@isw_admin root=@isw_admin,demodsys demod new_user,Unix,ajcole 15015 15018 802 56057 8532 61970 dhumphre root 56059 61921 820 61996 acqsys 19022 31016 19001 pkshukla ssgamage barambep 19020 19021 327 19290 * 19019 791 611 892 thewavit bmurat,swnap01b.isw.intel.com,,,,07/07/2014 18:02:13,,false,false,false,false,false,,,07/07/2014 19:22:28,,07/07/2014 18:02:13,470602,,,,Unlimited,2048000,,,0,,,,0,/nfs/isw/disks/demodsys_disk001,false,false,false,0,,356792.321,barambep,10986864,/nfs/isw/disks/demodsys_disk001,,root:read write execute demodsys:read write execute all:none  sticky,,,spd,,,false,none,,01/10/2013,01/10/2013 10:13:52,512000,mjphelps,((FileServer=='swnap01b.isw.intel.com') && (Disk=='vol0')),/nfs/site/gen/adm/disk_metrics/nfs-scan/data/isw/swnap01b.isw.intel.com/vol0_ISW-DHG_demodsys_disk001.gz,Wed Jun 11 21:15:27 2014,barambep,512000,500.0,512000,0.488,,,0,,Active,,false,,2,true,NETAPP,2770,470602,459.572,0.449,true,barambep,0.919,,false,485267.457,361112.211,430896.336,309374.41,0.0,0.0,401353.57,,,,,643983,
false,true,,ISW-DHG_demodsys_disk002,ibw.8909,ISW-DHG_demodsys_disk002,false,1,cmsbak002.isw.intel.com,,0,swsbak001-swspd001-PDDO,,1,PCCG,false,,,true,isw,,01/10/2013,01/10/2013 10:15:43,,false,N/A,Unlimited,,Active,,21,vol0,aggr0,false,,,0, sticky,,,-sec=sys rw=@isw_prod_all:@isw_admin root=@isw_admin,demodsys root,Unix,root 61970 pkshukla * ssgamage barambep thewavit bmurat,swnap01b.isw.intel.com,,,,07/07/2014 17:59:53,,false,false,false,false,false,,,07/07/2014 19:22:28,,07/07/2014 17:59:53,780613,,,,Unlimited,2048000,,,0,,,,0,/nfs/isw/disks/demodsys_disk002,false,false,false,0,,4002611.508,barambep,10986864,/nfs/isw/disks/demodsys_disk002,,root:read write execute demodsys:read write execute all:none  sticky,,,spd,,,false,none,,01/10/2013,01/10/2013 10:15:31,1024000,mjphelps,((FileServer=='swnap01b.isw.intel.com') && (Disk=='vol0')),/nfs/site/gen/adm/disk_metrics/nfs-scan/data/isw/swnap01b.isw.intel.com/vol0_ISW-DHG_demodsys_disk002.gz,Wed Jun 11 21:11:23 2014,barambep,1024000,1000.0,0,0.977,,,0,,Active,,false,,2,true,NETAPP,2770,780613,762.317,0.744,true,barambep,0.762,,false,608836.5,300553.91,465967.508,223628.332,0.0,0.0,337058.301,,,,,176676,
false,true,,ISW-DHG_demodsys_disk003,ibw.8910,ISW-DHG_demodsys_disk003,false,1,cmsbak002.isw.intel.com,,0,swsbak001-swspd001-PDDO,,1,PCCG,false,,,true,isw,,01/10/2013,01/10/2013 10:16:04,,false,N/A,Unlimited,,Active,,21,vol0,aggr0,false,,,0, sticky,,,-sec=sys rw=@isw_prod_all:@isw_admin root=@isw_admin,demodsys demod 2 root intelall,Unix,11352569 56057 root 56059 56058 * sgoody 61996 intarlad 10556946 pkshukla ssgamage barambep thewavit bmurat,swnap01b.isw.intel.com,,,,07/07/2014 17:58:39,,false,false,false,false,false,,,07/07/2014 19:22:28,,07/07/2014 17:58:39,427456,,,,Unlimited,2048000,,,0,,,,0,/nfs/isw/disks/demodsys_disk003,false,false,false,0,,16282.171,barambep,10986864,/nfs/isw/disks/demodsys_disk003,,root:read write execute demodsys:read write execute all:none  sticky,,,spd,,,false,none,,01/10/2013,01/10/2013 10:15:51,614400,mjphelps,((FileServer=='swnap01b.isw.intel.com') && (Disk=='vol0')),/nfs/site/gen/adm/disk_metrics/nfs-scan/data/isw/swnap01b.isw.intel.com/vol0_ISW-DHG_demodsys_disk003.gz,Wed Jun 11 22:57:45 2014,barambep,614400,600.0,614400,0.586,,,0,,Active,,false,,2,true,NETAPP,2770,427456,417.438,0.408,true,barambep,0.696,,false,278518.609,212544.965,226423.426,210950.543,0.0,0.0,222077.852,,,,,474051,
false,true,,ISW-DHG_demodsys_disk004,ibw.8911,ISW-DHG_demodsys_disk004,false,1,cmsbak002.isw.intel.com,,0,swsbak001-swspd001-PDDO,,1,PCCG,false,,,true,isw,,01/10/2013,01/10/2013 10:16:30,,false,N/A,Unlimited,,Active,,21,vol0,aggr0,false,,,0, sticky,,,-sec=sys rw=@isw_prod_all:@isw_admin root=@isw_admin,demodsys infra 112 root 92 new_user desserv euec 1 2401 intelall 31 cdsuser cdc 65534 media,Unix,gquinn ajcole 56057 61970 root 56059 56058 dloukian mjphelps sgoody 380 61996 acqsys 31016 pkshukla ssgamage barambep nmetrics 19123 101 11352569 * 19019 356 10556946 43815 24999 thewavit bmurat,swnap01b.isw.intel.com,,,,07/07/2014 18:00:45,,false,false,false,false,false,,,07/07/2014 19:22:28,,07/07/2014 18:00:45,166581,,,,Unlimited,2048000,,,0,,,,0,/nfs/isw/disks/demodsys_disk004,false,false,false,0,,31.999,barambep,10986864,/nfs/isw/disks/demodsys_disk004,,barambep:read write execute demodsys:read write execute all:none  sticky,,,spd,,,false,none,,01/10/2013,01/10/2013 10:16:18,204800,mjphelps,((FileServer=='swnap01b.isw.intel.com') && (Disk=='vol0')),/nfs/site/gen/adm/disk_metrics/nfs-scan/data/isw/swnap01b.isw.intel.com/vol0_ISW-DHG_demodsys_disk004.gz,Wed Jun 11 22:59:26 2014,barambep,204800,200.0,204800,0.195,,,0,,Active,,false,,2,true,NETAPP,2770,166581,162.677,0.159,true,barambep,0.813,,false,166665.059,166581.035,166581.035,166581.023,0.0,0.0,166581.035,,,,,99135,
false,true,,ISW-DHG_dtd_ads,ibw.8831,ISW-DHG_dtd_ads,false,1,cmsbak002.isw.intel.com,,0,swsbak001-swspd001-PDDO,,1,HIP,false,,,false,isw,,01/08/2013,01/08/2013 12:45:31,,false,N/A,0,ISW ads disk for iali,Active,,21,vol6,aggr0,false,,,0,,,,-sec=sys rw=@isw_prod_all:@isw_admin root=@isw_admin,,Unix,capowell root iali 61967,swnap01b.isw.intel.com,,,,07/07/2014 18:52:06,,false,false,false,false,false,,,07/07/2014 19:45:19,,07/07/2014 18:52:06,94796,,,,Unlimited,2560000,,,0,,,,0,/nfs/isw/proj/ads,false,false,false,0,,577.987,sgoody,10986882,/nfs/isw/proj/ads,,root:read write execute tuner:read write execute all:none ,,,msg,msg,,false,none,,01/08/2013,01/08/2013 12:45:18,102400,mjphelps,((FileServer=='swnap01b.isw.intel.com') && (Disk=='vol6')),/nfs/site/gen/adm/disk_metrics/nfs-scan/data/isw/swnap01b.isw.intel.com/vol6_ISW-DHG_dtd_ads.gz,Sun May 25 04:57:04 2014,sgoody,102400,100.0,102400,0.098,,,0,,Active,,false,,2,true,NETAPP,770,94796,92.574,0.09,false,sgoody,0.926,,false,94438.516,94360.723,94360.727,92231.973,89503.652,89050.5,94360.727,,,,,171417,
false,true,,ISW-DHG_dtd_alliance,ibw.8859,ISW-DHG_dtd_alliance,false,1,cmsbak002.isw.intel.com,,0,swsbak001-swspd001-PDDO,,1,DPG,false,,,true,isw,,01/09/2013,01/09/2013 10:35:41,,false,N/A,Unlimited,,Active,,21,vol0,aggr0,false,,,0,,,,-sec=sys rw=@isw_prod_all:@isw_admin root=@isw_admin,,Unix,* iforni acqsys,swnap01b.isw.intel.com,,,,07/07/2014 18:03:51,,false,false,false,false,false,,,07/07/2014 19:22:28,,07/07/2014 18:03:51,0,,,,Unlimited,2048000,,,0,,,,0,/nfs/isw/proj/alliance,false,false,false,0,,1.0,root,10623903,/nfs/isw/proj/alliance,,acqsys:read write execute cgall:read write execute all:none ,,,alliance,other,,false,none,,01/09/2013,01/09/2013 10:23:29,10,mjphelps,((FileServer=='swnap01b.isw.intel.com') && (Disk=='vol0')),/nfs/site/gen/adm/disk_metrics/nfs-scan/data/isw/swnap01b.isw.intel.com/vol0_ISW-DHG_dtd_alliance.gz,Sun May 25 09:39:11 2014,root,10,0.01,10,0.0,,,0,,Active,,false,,2,true,NETAPP,770,0,0.0,0.0,true,root,0.0,,false,0.129,0.047,0.047,0.047,0.0,0.0,0.047,,,,,30,
false,true,,ISW-DHG_dtd_apps,ibw.8729,ISW-DHG_dtd_apps,false,1,cmsbak002.isw.intel.com,,0,swsbak001-swspd001-PDDO,,1,HIP,false,,,false,isw,,12/31/2012,12/31/2012 09:55:35,,false,N/A,0,ISW local tools,Active,,21,vol6,aggr0,false,,,0,,,,-sec=sys rw=@isw_prod_all:@isw_admin root=@isw_admin,demodsys tuner bicmos infra root npi 34 consumer 747 desserv euec comms coe73 syncmgr intelall dk1269 555 15011 15014 15007 754 demod 15009 15008 40962 cgall 2414 3 2413 2 1 7 3950 cdc 65534 73 media,Unix,804 19208 44964 158 jesaunde 154 152 19341 adtalbot 19346 syncmgr 44146 ssgamage rsneddon 19415 19290 jpsanch1 19019 2 sjnewett pphackne sjhobson 160 30215 19213 amittal pastockw 63902 174 172 11239186 gematthe 15032 19081 323 astempes 63912 791 30684 182 ajmarti1 611 muabbasi 19231 19139 65534 thewavit cmair 53995 ckan 60001 19307 61990 15041 56057 root mtaitken 56059 11412310 15042 56058 195 61999 45071 61921 61997 sgoody clperry acqsys 61919 11361308 iali 61914 barambep 3108 15057 230 19395 19399 61930 11256962 19053 sjspinks 231 233 kmlyons 588 237 15063 ajcole 15062 11424216 15064 15066 57 dhumphre 55 61941 61973 61971 jadarnes 61943 61942 453 syee1 44030 61935 61936 pkshukla 36502 36500 19370 mjwebb 11352569 147 esavin 64103 61962 61954 61953 61966 61955 27808 61957 11434956 140 cbalson 563,swnap01b.isw.intel.com,,,,07/07/2014 17:58:28,,false,false,false,false,false,,,07/07/2014 19:45:19,,07/07/2014 17:58:28,293095,,,,Unlimited,2560000,,,0,,,ipg.hip.da.isw@intel.com,0,/nfs/isw/disks/apps,false,false,false,0,,198281.336,sgoody,10986882,/nfs/isw/disks/apps,,acqsys:read write execute infra:read write execute all:read execute ,,,msg,msg,,false,none,,12/31/2012,12/31/2012 09:45:29,307200,mjphelps,((FileServer=='swnap01b.isw.intel.com') && (Disk=='vol6')),/nfs/site/gen/adm/disk_metrics/nfs-scan/data/isw/swnap01b.isw.intel.com/vol6_ISW-DHG_dtd_apps.gz,Wed Jun 11 23:50:11 2014,sgoody,307200,300.0,307200,0.293,,,0,,Active,,false,,2,true,NETAPP,775,293095,286.226,0.28,false,sgoody,0.954,,false,294648.723,289401.375,291421.219,275686.969,4023.949,3291.457,289836.602,,,EDA_CAD_TOOLS,,4141292,
false,true,,ISW-DHG_dtd_coe69,ibw.8793,ISW-DHG_dtd_coe69,false,1,cmsbak002.isw.intel.com,,0,swsbak001-swspd001-PDDO,,1,HIP,false,,,true,isw,,01/07/2013,01/07/2013 09:15:22,,false,N/A,Unlimited,COE69 proj LINK_TREE,Active,,21,vol2,aggr0,false,,,0, sticky,,,-sec=sys rw=@isw_prod_all:@isw_admin root=@isw_admin,cgall,Unix,* cgadmin,swnap01a.isw.intel.com,,,,07/07/2014 18:00:53,,false,false,false,false,false,,,07/07/2014 19:16:06,,07/07/2014 18:00:53,0,,,,Unlimited,2560000,,,0,,,,0,/nfs/isw/proj/coe69,false,false,false,0,,1.0,sgoody,10986882,/nfs/isw/proj/coe69,,cgadmin:read write execute cgall:read write execute all:none  sticky,,,coe69,coe69a,,false,none,,01/07/2013,01/07/2013 09:03:42,10,mjphelps,((FileServer=='swnap01a.isw.intel.com') && (Disk=='vol2')),/nfs/site/gen/adm/disk_metrics/nfs-scan/data/isw/swnap01a.isw.intel.com/vol2_ISW-DHG_dtd_coe69.gz,Wed Jun 11 23:39:51 2014,sgoody,10,0.01,10,0.0,,,0,,Active,,false,,2,true,NETAPP,2770,0,0.0,0.0,true,sgoody,0.0,,false,0.004,0.0,0.0,0.0,0.0,0.0,0.0,,,LINK_TREE,,1,
true,true,,ISW-DHG_dtd_coe69_data,ibw.8794,ISW-DHG_dtd_coe69_data,false,1,cmsbak002.isw.intel.com,,0,swsbak001-swspd001-PDDO,,1,HIP,false,,,true,isw,,01/07/2013,01/07/2013 09:15:42,,false,N/A,Unlimited,COE69 old DB Cache non-coe69all,Active,,21,vol2,aggr0,false,,,0,,,,-sec=sys rw=@isw_prod_all:@isw_admin root=@isw_admin,coe69 intelall x9_pr,Unix,64121 mjwebb * 61973 61986 61989 coe69adm clperry 58585 10638104 61919 61946 61949 pphackne 10668216,swnap01a.isw.intel.com,,,,07/07/2014 18:06:55,,false,false,false,false,false,,,07/07/2014 19:16:06,,07/07/2014 18:06:55,7831,,,,Unlimited,2560000,,,0,,,,0,/nfs/isw/disks/coe69_data,false,true,false,0,,1.0,sgoody,10986882,/nfs/isw/disks/coe69_data,,coe69adm:read write execute coe69:read write execute all:none ,,,coe69,coe69a,,false,none,,01/07/2013,01/07/2013 09:05:09,20480,mjphelps,((FileServer=='swnap01a.isw.intel.com') && (Disk=='vol2')),/nfs/site/gen/adm/disk_metrics/nfs-scan/data/isw/swnap01a.isw.intel.com/vol2_ISW-DHG_dtd_coe69_data.gz,Wed Jun 11 23:53:52 2014,sgoody,20480,20.0,20480,0.02,,,0,,Active,,false,,2,true,NETAPP,770,7831,7.647,0.007,true,sgoody,0.382,,false,8619.566,7831.43,7831.449,7831.43,0.0,0.0,7831.449,,,VAULT,,755931,
